season,week,celebrity_name,ballroom_partner,partner_total_seasons,partner_avg_placement,partner_final_rate,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,age_group,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week_total_judge,season_total_weeks,weekly_contestant_count,weekly_sum_judge,weekly_mean_judge,weekly_std_judge,judge_pct,judge_share,judge_zscore,rank_pct,popularity_deviation,judge_rank_interaction,judge_popularity_interaction,rank_popularity_interaction,cumulative_weeks,relative_cumulative_weeks,week_total_judge_change,week_total_judge_trend,survival_advantage,weekly_judge_rank,weekly_judge_rank_pct,weekly_judge_share_rank,weekly_judge_share_rank_pct,composite_attractiveness
1,2,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,,,,,8.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,6,6,121.0,20.166666666666668,4.445971959725642,1.0,0.2148760330578512,1.3120490606272972,1.0,0.0,1.0,0.0,0.0,2,0.3333333333333333,6.0,23.0,0.0,1,0.1666666666666666,1,0.1666666666666666,0.8738022110994726
1,3,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,,,,,,,,,9.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,6,5,106.0,21.2,4.969909455915671,0.9230769230769232,0.2264150943396226,0.5633905456098738,0.8,-0.123076923076923,0.7384615384615385,-0.1136094674556213,-0.0984615384615384,3,0.5,-2.0,25.0,0.0,2,0.4,2,0.4,0.7856862388005434
1,4,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,,,,,,,,,,,,,7.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,6,4,92.0,23.0,2.943920288775949,0.8076923076923077,0.2282608695652173,-0.6793662204867574,0.5,-0.3076923076923077,0.4038461538461538,-0.2485207100591716,-0.1538461538461538,4,0.6666666666666666,-3.0,22.5,0.0,3,0.75,3,0.75,0.674921282486515
1,5,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,,,,,,,,,,,,,,,,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,6,3,73.0,24.33333333333333,2.362907813126304,1.0,0.3698630136986301,1.128552985373758,1.0,0.0,1.0,0.0,0.0,5,0.8333333333333334,6.0,24.0,0.0,1,0.3333333333333333,1,0.3333333333333333,0.7994351417324359
1,6,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,,,,,,,,,,,,,,,,,,,,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,27.0,6,3,54.5,18.166666666666668,15.73478100684383,0.9818181818181818,0.4954128440366973,0.5613890227955052,0.6666666666666667,-0.315151515151515,0.6545454545454547,-0.3094214876033057,-0.21010101010101,6,1.0,0.0,27.0,0.0,2,0.6666666666666666,2,0.6666666666666666,0.6515169206887665
1,1,Kelly Monaco,Alec Mazo,5,8.4,0.2,Actor/Actress,Pennsylvania,United States,29,25-34,1st Place,1,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,6,6,109.0,18.166666666666668,2.714160398109638,0.65,0.1192660550458715,-1.9035966593076648,0.1666666666666666,-0.4833333333333334,0.1083333333333333,-0.3141666666666667,-0.0805555555555555,1,0.1666666666666666,0.0,13.0,0.0,6,1.0,6,1.0,0.4558420132221239
1,2,Kelly Monaco,Alec Mazo,5,8.4,0.2,Actor/Actress,Pennsylvania,United States,29,25-34,1st Place,1,,,,,5.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,6,6,121.0,20.166666666666668,4.445971959725642,0.6538461538461539,0.140495867768595,-0.7122552043405331,0.3333333333333333,-0.3205128205128205,0.2179487179487179,-0.2095660749506903,-0.1068376068376068,2,0.3333333333333333,4.0,15.0,0.0,5,0.8333333333333334,5,0.8333333333333334,0.6106350830972396
1,3,Kelly Monaco,Alec Mazo,5,8.4,0.2,Actor/Actress,Pennsylvania,United States,29,25-34,1st Place,1,,,,,,,,,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,6,5,106.0,21.2,4.969909455915671,0.8076923076923077,0.1981132075471698,-0.0402421818292765,0.4,-0.4076923076923077,0.3230769230769231,-0.3292899408284023,-0.1630769230769231,3,0.5,4.0,19.0,0.0,4,0.8,4,0.8,0.5938589667367058
1,4,Kelly Monaco,Alec Mazo,5,8.4,0.2,Actor/Actress,Pennsylvania,United States,29,25-34,1st Place,1,,,,,,,,,,,,,9.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,6,4,92.0,23.0,2.943920288775949,1.0,0.2826086956521739,1.0190493307301365,1.0,0.0,1.0,0.0,0.0,4,0.6666666666666666,5.0,23.5,0.0,1,0.25,1,0.25,0.7563946299736638
1,5,Kelly Monaco,Alec Mazo,5,8.4,0.2,Actor/Actress,Pennsylvania,United States,29,25-34,1st Place,1,,,,,,,,,,,,,,,,,8.5,7.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,6,3,73.0,24.33333333333333,2.362907813126304,0.8703703703703703,0.3219178082191781,-0.3526728079292986,0.6666666666666667,-0.2037037037037036,0.5802469135802469,-0.1772976680384086,-0.1358024691358024,5,0.8333333333333334,-2.5,24.75,0.0,2,0.6666666666666666,2,0.6666666666666666,0.6004922211119094
1,6,Kelly Monaco,Alec Mazo,5,8.4,0.2,Actor/Actress,Pennsylvania,United States,29,25-34,1st Place,1,,,,,,,,,,,,,,,,,,,,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,27.5,6,3,54.5,18.166666666666668,15.73478100684383,1.0,0.5045871559633027,0.5931657599348733,1.0,0.0,1.0,0.0,0.0,6,1.0,4.0,25.5,0.0,1,0.3333333333333333,1,0.3333333333333333,0.6815187340093383
1,1,Rachel Hunter,Jonathan Roberts,7,8.714285714285714,0.1428571428571428,Model,Unknown,New Zealand,35,35-44,Eliminated Week 4,4,7.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6,6,109.0,18.166666666666668,2.714160398109638,1.0,0.1834862385321101,0.6754697823349772,1.0,0.0,1.0,0.0,0.0,1,0.1666666666666666,0.0,20.0,0.0,1,0.1666666666666666,1,0.1666666666666666,0.8015325862958587
1,2,Rachel Hunter,Jonathan Roberts,7,8.714285714285714,0.1428571428571428,Model,Unknown,New Zealand,35,35-44,Eliminated Week 4,4,,,,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,6,6,121.0,20.166666666666668,4.445971959725642,0.9230769230769232,0.1983471074380165,0.8622036684122237,0.8333333333333334,-0.0897435897435897,0.7692307692307693,-0.0828402366863905,-0.0747863247863248,2,0.3333333333333333,4.0,22.0,0.0,2,0.3333333333333333,2,0.3333333333333333,0.7371824051755387
1,3,Rachel Hunter,Jonathan Roberts,7,8.714285714285714,0.1428571428571428,Model,Unknown,New Zealand,35,35-44,Eliminated Week 4,4,,,,,,,,,8.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,6,5,106.0,21.2,4.969909455915671,1.0,0.2452830188679245,0.9658123639026408,1.0,0.0,1.0,0.0,0.0,3,0.5,2.0,25.0,0.0,1,0.2,1,0.2,0.7619285490554625
1,4,Rachel Hunter,Jonathan Roberts,7,8.714285714285714,0.1428571428571428,Model,Unknown,New Zealand,35,35-44,Eliminated Week 4,4,,,,,,,,,,,,,7.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,6,4,92.0,23.0,2.943920288775949,0.9615384615384616,0.2717391304347826,0.6793662204867574,0.75,-0.2115384615384615,0.7211538461538461,-0.2034023668639053,-0.1586538461538461,4,0.6666666666666666,-1.0,25.5,0.0,2,0.5,2,0.5,0.6656353683719065
1,1,Trista Sutter,Louis van Amstel,11,7.0,0.0909090909090909,TV Personality,Indiana,United States,32,25-34,Eliminated Week 2,6,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,6,6,109.0,18.166666666666668,2.714160398109638,0.9,0.1651376146788991,-0.0614063438486347,0.5,-0.4,0.45,-0.36,-0.2,1,0.1666666666666666,0.0,18.0,0.0,4,0.6666666666666666,4,0.6666666666666666,0.6409254085597658
1,2,Trista Sutter,Louis van Amstel,11,7.0,0.0909090909090909,TV Personality,Indiana,United States,32,25-34,Eliminated Week 2,6,,,,,6.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,6,6,121.0,20.166666666666668,4.445971959725642,0.7307692307692307,0.1570247933884297,-0.2624098121254598,0.5,-0.2307692307692307,0.3653846153846153,-0.1686390532544378,-0.1153846153846153,2,0.3333333333333333,1.0,18.5,0.0,4,0.6666666666666666,4,0.6666666666666666,0.6590305833042753
2,1,Drew Lachey,Cheryl Burke,25,5.8,0.32,Singer/Rapper,Ohio,United States,29,25-34,1st Place,1,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,8,10,195.0,19.5,4.143267631552018,1.0,0.123076923076923,1.086099282057325,1.0,0.0,1.0,0.0,0.0,1,0.125,0.0,24.0,0.0,1,0.1,1,0.1,0.8926929611747352
2,2,Drew Lachey,Cheryl Burke,25,5.8,0.32,Singer/Rapper,Ohio,United States,29,25-34,1st Place,1,,,,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,8,9,200.0,22.22222222222222,4.236088342379611,0.9310344827586208,0.135,1.1278749146893086,0.8888888888888888,-0.0421455938697318,0.8275862068965516,-0.0392390011890606,-0.0374627501064282,2,0.25,3.0,25.5,0.0,2,0.2222222222222222,2,0.2222222222222222,0.8439669526149192
2,3,Drew Lachey,Cheryl Burke,25,5.8,0.32,Singer/Rapper,Ohio,United States,29,25-34,1st Place,1,,,,,,,,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,8,8,182.0,22.75,4.527692569068709,1.0,0.1483516483516483,0.9386679716361956,1.0,0.0,1.0,0.0,0.0,3,0.375,0.0,27.0,0.0,1,0.125,1,0.125,0.8573545018490484
2,4,Drew Lachey,Cheryl Burke,25,5.8,0.32,Singer/Rapper,Ohio,United States,29,25-34,1st Place,1,,,,,,,,,,,,,9.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,8,7,158.0,22.571428571428573,6.778818551368737,1.0,0.1772151898734177,0.8008137977782757,1.0,0.0,1.0,0.0,0.0,4,0.5,1.0,27.5,0.0,1,0.1428571428571428,1,0.1428571428571428,0.8310502083273681
2,5,Drew Lachey,Cheryl Burke,25,5.8,0.32,Singer/Rapper,Ohio,United States,29,25-34,1st Place,1,,,,,,,,,,,,,,,,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,8,6,151.0,25.166666666666668,2.9268868558020253,0.9,0.1788079470198675,0.6263765644712502,0.8333333333333334,-0.0666666666666666,0.75,-0.0599999999999999,-0.0555555555555555,5,0.625,-1.0,27.5,0.0,2,0.3333333333333333,2,0.3333333333333333,0.771399948922154
2,6,Drew Lachey,Cheryl Burke,25,5.8,0.32,Singer/Rapper,Ohio,United States,29,25-34,1st Place,1,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,30.0,8,5,133.0,26.6,3.507135583350036,1.0,0.225563909774436,0.9694521124707414,1.0,0.0,1.0,0.0,0.0,6,0.75,3.0,28.5,0.0,1,0.2,1,0.2,0.7824223603416652
2,7,Drew Lachey,Cheryl Burke,25,5.8,0.32,Singer/Rapper,Ohio,United States,29,25-34,1st Place,1,,,,,,,,,,,,,,,,,,,,,,,,,9.5,9.0,9.0,,,,,,,,,,,,,,,,,,27.5,8,4,102.0,25.5,3.366501646120692,1.0,0.2696078431372549,0.5940885257860047,1.0,0.0,1.0,0.0,0.0,7,0.875,-2.5,28.75,0.0,1,0.25,1,0.25,0.7756689337546867
2,8,Drew Lachey,Cheryl Burke,25,5.8,0.32,Singer/Rapper,Ohio,United States,29,25-34,1st Place,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,28.9998,8,3,84.3329,28.110966666666663,1.2619106637687671,1.0,0.3438729131809768,0.7043551963328241,1.0,0.0,1.0,0.0,0.0,8,1.0,1.4998000000000005,28.2499,0.0,1,0.3333333333333333,1,0.3333333333333333,0.7495983317103971
2,1,George Hamilton,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Actor/Actress,Tennessee,United States,66,65+,Eliminated Week 6,5,7.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,8,10,195.0,19.5,4.143267631552018,0.75,0.0923076923076923,-0.3620330940191084,0.3,-0.4499999999999999,0.225,-0.3374999999999999,-0.135,1,0.125,0.0,18.0,0.0,8,0.8,8,0.8,0.21321698798551758
2,2,George Hamilton,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Actor/Actress,Tennessee,United States,66,65+,Eliminated Week 6,5,,,,,8.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,8,9,200.0,22.22222222222222,4.236088342379611,0.7586206896551724,0.11,-0.052459298357642,0.5555555555555556,-0.2030651340996168,0.421455938697318,-0.1540494120755713,-0.112813963388676,2,0.25,4.0,20.0,0.0,5,0.5555555555555556,5,0.5555555555555556,0.6505253508418127
2,3,George Hamilton,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Actor/Actress,Tennessee,United States,66,65+,Eliminated Week 6,5,,,,,,,,,7.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,8,8,182.0,22.75,4.527692569068709,0.8148148148148148,0.1208791208791208,-0.1656472891122698,0.5,-0.3148148148148147,0.4074074074074074,-0.2565157750342935,-0.1574074074074073,3,0.375,0.0,22.0,0.0,5,0.625,5,0.625,0.46501298937831026
2,4,George Hamilton,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Actor/Actress,Tennessee,United States,66,65+,Eliminated Week 6,5,,,,,,,,,,,,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,8,7,158.0,22.571428571428573,6.778818551368737,0.75,0.1329113924050632,-0.2318145204095011,0.2857142857142857,-0.4642857142857143,0.2142857142857142,-0.3482142857142857,-0.1326530612244898,4,0.5,-1.0,21.5,0.0,6,0.8571428571428571,6,0.8571428571428571,0.40212588003609706
2,5,George Hamilton,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Actor/Actress,Tennessee,United States,66,65+,Eliminated Week 6,5,,,,,,,,,,,,,,,,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,8,6,151.0,25.166666666666668,2.9268868558020253,0.8,0.1589403973509933,-0.3986032682998872,0.5,-0.3,0.4,-0.24,-0.15,5,0.625,3.0,22.5,0.0,4,0.6666666666666666,4,0.6666666666666666,0.5667424227410542
2,6,George Hamilton,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Actor/Actress,Tennessee,United States,66,65+,Eliminated Week 6,5,,,,,,,,,,,,,,,,,,,,,8.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,23.0,8,5,133.0,26.6,3.507135583350036,0.7666666666666667,0.1729323308270676,-1.0264787073219623,0.4,-0.3666666666666667,0.3066666666666667,-0.2811111111111111,-0.1466666666666667,6,0.75,-1.0,23.5,0.0,4,0.8,4,0.8,0.14294510171802133
2,1,Giselle Fernandez,Jonathan Roberts,7,8.714285714285714,0.1428571428571428,News Anchor,Unknown,Mexico,44,35-44,Eliminated Week 3,8,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,8,10,195.0,19.5,4.143267631552018,0.9583333333333334,0.1179487179487179,0.8447438860445862,0.9,-0.0583333333333333,0.8625,-0.0559027777777777,-0.0525,1,0.125,0.0,23.0,0.0,2,0.2,2,0.2,0.8036844566078583
2,2,Giselle Fernandez,Jonathan Roberts,7,8.714285714285714,0.1428571428571428,News Anchor,Unknown,Mexico,44,35-44,Eliminated Week 3,8,,,,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,8,9,200.0,22.22222222222222,4.236088342379611,0.8275862068965517,0.12,0.4196743868611381,0.7777777777777778,-0.0498084291187739,0.6436781609195402,-0.0412207689258818,-0.0387398893146019,2,0.25,1.0,23.5,0.0,3,0.3333333333333333,3,0.3333333333333333,0.7448454989259733
2,3,Giselle Fernandez,Jonathan Roberts,7,8.714285714285714,0.1428571428571428,News Anchor,Unknown,Mexico,44,35-44,Eliminated Week 3,8,,,,,,,,,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,8,8,182.0,22.75,4.527692569068709,0.8148148148148148,0.1208791208791208,-0.1656472891122698,0.5,-0.3148148148148147,0.4074074074074074,-0.2565157750342935,-0.1574074074074073,3,0.375,-2.0,23.0,0.0,5,0.625,5,0.625,0.6159705567999658
2,1,Jerry Rice,Anna Trebunskaya,11,8.181818181818182,0.1818181818181818,Athlete,Mississippi,United States,43,35-44,2nd Place,2,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,8,10,195.0,19.5,4.143267631552018,0.875,0.1076923076923077,0.3620330940191084,0.6,-0.275,0.525,-0.240625,-0.165,1,0.125,0.0,21.0,0.0,5,0.5,5,0.5,0.652802032914522
2,2,Jerry Rice,Anna Trebunskaya,11,8.181818181818182,0.1818181818181818,Athlete,Mississippi,United States,43,35-44,2nd Place,2,,,,,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,8,9,200.0,22.22222222222222,4.236088342379611,0.7931034482758621,0.115,0.183607544251748,0.6666666666666667,-0.1264367816091953,0.5287356321839082,-0.1002774474831549,-0.0842911877394635,2,0.25,2.0,22.0,0.0,4,0.4444444444444444,4,0.4444444444444444,0.6858680996568592
2,3,Jerry Rice,Anna Trebunskaya,11,8.181818181818182,0.1818181818181818,Athlete,Mississippi,United States,43,35-44,2nd Place,2,,,,,,,,,7.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,8,8,182.0,22.75,4.527692569068709,0.7037037037037037,0.1043956043956044,-0.828236445561349,0.25,-0.4537037037037037,0.1759259259259259,-0.3192729766803841,-0.1134259259259259,3,0.375,-4.0,21.0,0.0,7,0.875,7,0.875,0.35578785333201257
2,4,Jerry Rice,Anna Trebunskaya,11,8.181818181818182,0.1818181818181818,Athlete,Mississippi,United States,43,35-44,2nd Place,2,,,,,,,,,,,,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,8,7,158.0,22.571428571428573,6.778818551368737,0.8571428571428571,0.1518987341772152,0.210740473099546,0.4285714285714286,-0.4285714285714285,0.3673469387755102,-0.3673469387755101,-0.183673469387755,4,0.5,5.0,21.5,0.0,5,0.7142857142857143,5,0.7142857142857143,0.5811576390329187
2,5,Jerry Rice,Anna Trebunskaya,11,8.181818181818182,0.1818181818181818,Athlete,Mississippi,United States,43,35-44,2nd Place,2,,,,,,,,,,,,,,,,,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,8,6,151.0,25.166666666666668,2.9268868558020253,0.7666666666666667,0.152317880794702,-0.740263212556933,0.3333333333333333,-0.4333333333333333,0.2555555555555556,-0.3322222222222222,-0.1444444444444444,5,0.625,-1.0,23.5,0.0,5,0.8333333333333334,5,0.8333333333333334,0.20990886714438395
