season,week,actual_eliminated,actual_count,predicted_eliminated,correct_rate,exact_match,judge_weight,fan_weight,week_reliability,cum_reliability
4,3,Shandi Finnessey,1,Shandi Finnessey,1.0,1,0.5893719652640567,0.41062803473594334,0.30585360805270057,0.35319387133932245
4,4,Leeza Gibbons,1,Leeza Gibbons,1.0,1,0.6051188985219842,0.3948811014780158,0.5131922901661481,0.406526677614931
4,5,Clyde Drexler,1,Clyde Drexler,1.0,1,0.6219773093261932,0.3780226906738068,0.665671191112781,0.4713128059893935
4,6,Heather Mills,1,John Ratzenberger,0.0,0,0.6472980659047745,0.35270193409522554,0.4870784479993969,0.47446593439139423
4,8,Billy Ray Cyrus,1,Billy Ray Cyrus,1.0,1,0.6973346228013938,0.3026653771986062,0.6497206211905275,0.5036750488579164
4,9,Ian Ziering,1,Ian Ziering,1.0,1,0.724517741485694,0.27548225851430597,0.23909680019213514,0.46587815619137624
5,1,Josie Maran,1,Josie Maran,1.0,1,0.5499916606852632,0.4500083393147368,0.44449077397076,0.44449077397076
5,2,Albert Reed,1,Albert Reed,1.0,1,0.5740936883587198,0.42590631164128023,0.4210047882119091,0.43274778109133455
5,3,Wayne Newton,1,Wayne Newton,1.0,1,0.6010726073857736,0.3989273926142264,0.3258057081221801,0.3971004234349498
5,4,Floyd Mayweather Jr. ,1,Floyd Mayweather Jr. ,1.0,1,0.6235590385621979,0.37644096143780215,0.3567307776218877,0.3870080119816843
5,5,Mark Cuban,1,Mark Cuban,1.0,1,0.6457559043446421,0.35424409565535786,0.3308394015078177,0.375774289886911
5,6,Sabrina Bryan,1,Sabrina Bryan,1.0,1,0.6640623689371524,0.3359376310628476,0.5664508802790142,0.4075537216189282
5,7,Jane Seymour,1,Jane Seymour,1.0,1,0.6884365779020082,0.3115634220979918,0.07041024838547526,0.3593903682998635
5,8,Cameron Mathison,1,Cameron Mathison,1.0,1,0.7086681667296787,0.2913318332703213,0.417300742631877,0.3666291650913651
5,9,Jennie Garth,1,Jennie Garth,1.0,1,0.7297186845745106,0.2702813154254894,0.19355862073932403,0.347399104607805
6,2,"Monica Seles, Penn Jillette",2,"Monica Seles, Penn Jillette",1.0,1,0.5226474457049538,0.4773525542950462,0.5964030794169233,0.5964030794169233
6,3,Steve Guttenberg,1,Steve Guttenberg,1.0,1,0.5768032366529942,0.42319676334700584,0.26958756625934066,0.43299532283813197
6,4,Adam Carolla,1,Adam Carolla,1.0,1,0.6015207893002102,0.39847921069978975,0.4335473698746171,0.4331793385169604
6,5,Priscilla Presley,1,Priscilla Presley,1.0,1,0.6299956315240465,0.3700043684759535,0.30061730803857595,0.40003883089736425
6,6,Marlee Matlin,1,Marlee Matlin,1.0,1,0.650610449779173,0.34938955022082696,0.5881530220120388,0.4376616691202992
6,7,Shannon Elizabeth,1,Shannon Elizabeth,1.0,1,0.6765472547948529,0.3234527452051471,0.34082456152268653,0.42152215118736375
6,8,Mario,1,Mario,1.0,1,0.6986449369721226,0.3013550630278774,0.7927657861011945,0.4745569561750539
6,9,Marissa Jaret Winokur,1,Marissa Jaret Winokur,1.0,1,0.7233406908146628,0.2766593091853372,0.8236334615612118,0.5181915193483235
7,1,"Ted McGinley, Jeffrey Ross",2,"Jeffrey Ross, Ted McGinley",1.0,1,0.5500616764092775,0.4499383235907225,0.44410179772623615,0.44410179772623615
7,2,"Misty May-Treanor, Kim Kardashian",2,"Kim Kardashian, Cloris Leachman",0.5,0,0.5776477954375375,0.4223522045624625,0.37696742597121125,0.4105346118487237
7,4,Rocco DiSpirito,1,Rocco DiSpirito,1.0,1,0.6213834818639331,0.3786165181360669,0.3943437297042234,0.4051376511338902
7,5,Toni Braxton,1,Toni Braxton,1.0,1,0.6406927827825828,0.3593072172174172,0.4902090686283512,0.42640550550750544
7,7,Susan Lucci,1,Warren Sapp,0.0,0,0.6875676644416251,0.3124323355583749,0.16373927450121786,0.3738722593062479
7,8,Maurice Greene,1,Maurice Greene,1.0,1,0.7084582810646995,0.29154171893530045,0.3618965437638371,0.37187630671584615
7,9,Cody Linley,1,Cody Linley,1.0,1,0.72893518068329,0.27106481931671,0.4747622538867534,0.3865742991688329
8,2,Belinda Carlisle,1,Belinda Carlisle,1.0,1,0.5670790563766605,0.43292094362333955,0.3495607979074418,0.3495607979074418
8,3,Denise Richards,1,Denise Richards,1.0,1,0.581829211184398,0.418170788815602,0.4192407289542496,0.3844007634308457
8,4,"Steve Wozniak, Holly Madison",2,"Steve Wozniak, Holly Madison",1.0,1,0.5913690964966485,0.4086309035033515,0.6304321196386983,0.4664112155001299
8,5,David Alan Grier,1,David Alan Grier,1.0,1,0.6198029550448583,0.3801970449551417,0.2740011853376645,0.4183087079595136
8,6,Steve-O,1,Steve-O,1.0,1,0.637579465082726,0.362420534917274,0.6144585806923119,0.45753868250607327
8,7,Lawrence Taylor,1,Lawrence Taylor,1.0,1,0.6577324352935455,0.3422675647064545,0.6323739404537185,0.4866778921640142
8,8,Chuck Wicks,1,Chuck Wicks,1.0,1,0.6828937767438068,0.3171062232561932,0.2423253602384483,0.451770387603219
8,9,Lil' Kim,1,Lil' Kim,1.0,1,0.7058056672532483,0.29419433274675166,0.343140502794473,0.43819165200212573
8,10,Ty Murray,1,Ty Murray,1.0,1,0.7278697779912113,0.27213022200878867,0.4530666879378804,0.43984443377276516
9,1,"Ashley Hamiliton, Macy Gray",2,"Macy Gray, Ashley Hamiliton",1.0,1,0.5572882068164184,0.44271179318358156,0.40395440657545284,0.40395440657545284
9,2,Kathy Ireland,1,Kathy Ireland,1.0,1,0.5864567455509133,0.4135432544490867,0.3070029407047976,0.3554786736401252
9,3,"Tom DeLay, Debi Mazar",2,"Michael Irvin, Tom DeLay",0.5,0,0.6042850250139244,0.39571497498607555,0.4115064024213667,0.37415458323387235
9,4,Chuck Liddell,1,Chuck Liddell,1.0,1,0.6237304412172703,0.3762695587827297,0.419854876389372,0.3855796565227473
9,5,Natalie Coughlin,1,Natalie Coughlin,1.0,1,0.6473260060147614,0.3526739939852386,0.2580477398376036,0.3600732731857185
9,6,"Louie Vito, Melissa Joan Hart",2,"Louie Vito, Melissa Joan Hart",1.0,1,0.6666873353063952,0.33331266469360477,0.44808348609176263,0.3747416420033926
9,7,Mark Dacascos,1,Mark Dacascos,1.0,1,0.6881357441484095,0.3118642558515905,0.3023799973318693,0.36440426419317495
9,8,Aaron Carter,1,Aaron Carter,1.0,1,0.7092883628257205,0.2907116371742795,0.25816425217033445,0.3511242626903199
9,9,Joanna Krupa,1,Joanna Krupa,1.0,1,0.7300075434681437,0.26999245653185633,0.1876113378128116,0.3329561599261523
10,2,Shannen Doherty,1,Shannen Doherty,1.0,1,0.5583078937085355,0.4416921062914645,0.3982894793970248,0.3982894793970248
10,3,Buzz Aldrin,1,Buzz Aldrin,1.0,1,0.5604583233003309,0.43954167669966915,0.6752556215511539,0.5367725504740893
10,4,Aiden Turner,1,Aiden Turner,1.0,1,0.5921722420326954,0.40782775796730464,0.4337384094363683,0.502427836794849
10,5,Kate Gosselin,1,Kate Gosselin,1.0,1,0.6200661191863138,0.3799338808136862,0.4459211407687384,0.48830116278832136
10,6,Jake Pavelka,1,Jake Pavelka,1.0,1,0.6468151794088943,0.3531848205911057,0.44595204835258107,0.4798313399011733
10,7,Pamela Anderson,1,Pamela Anderson,1.0,1,0.6751776217708011,0.3248223782291989,0.25172136531180955,0.44181301080294605
10,8,Niecy Nash,1,Niecy Nash,1.0,1,0.7001011059412862,0.29989889405871384,0.44450545542670655,0.4421976457491975
10,9,Chad Ochocinco,1,Chad Ochocinco,1.0,1,0.7250093539647461,0.2749906460352539,0.45684618117923054,0.44402871267795163
11,1,David Hasselhoff,1,David Hasselhoff,1.0,1,0.5662248816374278,0.4337751183625722,0.354306213125401,0.354306213125401
11,2,Michael Bolton,1,Michael Bolton,1.0,1,0.5768863473101803,0.4231136526898197,0.47628111216401225,0.41529366264470663
11,3,Margaret Cho,1,Margaret Cho,1.0,1,0.5964652052425596,0.40353479475744036,0.45944399094145,0.43001043874362105
11,4,The Situation,1,The Situation,1.0,1,0.6190082227428427,0.38099177725715727,0.4096945923410451,0.4249314771429771
11,5,Florence Henderson,1,Florence Henderson,1.0,1,0.6433580687428673,0.3566419312571327,0.2990373209513909,0.39975264590465986
11,6,Audrina Patridge,1,Audrina Patridge,1.0,1,0.6682219317847669,0.33177806821523315,0.1345918866191846,0.3555591860237473
11,7,Rick Fox,1,Rick Fox,1.0,1,0.6888115468807016,0.31118845311929844,0.33863108110898943,0.353140885321639
11,8,Kurt Warner,1,Kurt Warner,1.0,1,0.7092311161608456,0.29076888383915445,0.3484572372460872,0.3525554293121951
11,9,Brandy,1,Brandy,1.0,1,0.7300832490165411,0.2699167509834589,0.14209450805896104,0.3291708825062802
12,2,Mike Catherwood,1,Mike Catherwood,1.0,1,0.5649994346367353,0.4350005653632647,0.3611142520181367,0.3611142520181367
12,3,Wendy Williams,1,Wendy Williams,1.0,1,0.5784431400902992,0.4215568599097008,0.4840522230256819,0.4225832375219093
12,4,Sugar Ray Leonard,1,Sugar Ray Leonard,1.0,1,0.609881229185961,0.390118770814039,0.2685839874903805,0.37125015417806634
12,5,Petra Nemcova,1,Petra Nemcova,1.0,1,0.630908542731892,0.369091457268108,0.45394579588741923,0.3919240646054045
12,6,Chris Jericho,1,Chris Jericho,1.0,1,0.65489920842855,0.34510079157145,0.38234771777004983,0.3900087952383336
12,7,Kendra Wilkinson,1,Kendra Wilkinson,1.0,1,0.6809448416100049,0.3190551583899951,0.18819232514122902,0.35637271688881617
12,8,Romeo,1,Romeo,1.0,1,0.7046488648504241,0.2953511351495759,0.24971805526780289,0.3411363366572428
12,9,Ralph Macchio,1,Ralph Macchio,1.0,1,0.7264621173374978,0.27353788266250223,0.6477372567334205,0.37946145166676504
13,1,Metta World Peace (Ron),1,Metta World Peace (Ron),1.0,1,0.5592432340150009,0.44075676598499913,0.39309314436110615,0.39309314436110615
13,2,Elisabetta Canalis,1,Elisabetta Canalis,1.0,1,0.5879893586874592,0.41201064131254084,0.2987065387123206,0.3458998415367134
13,3,Kristin Cavallari,1,Kristin Cavallari,1.0,1,0.6090148893666869,0.3909851106333131,0.32930983049756785,0.3403698378569982
13,4,Chynna Phillips,1,Chynna Phillips,1.0,1,0.6279779492036702,0.3720220507963298,0.37962551297332975,0.3501837566360811
13,5,Carson Kressley,1,Carson Kressley,1.0,1,0.6455244642954169,0.3544755357045831,0.489708425351498,0.3780886903791645
13,6,Chaz Bono,1,Chaz Bono,1.0,1,0.6674249832643497,0.33257501673565026,0.30268280327795094,0.36552104252896217
13,7,David Arquette,1,David Arquette,1.0,1,0.6879690862039394,0.3120309137960606,0.3771470210332941,0.3671818966010096
13,8,Nancy Grace,1,Nancy Grace,1.0,1,0.7090726483100874,0.29092735168991257,0.2818637284421048,0.35651712558114657
13,9,Hope Solo,1,Hope Solo,1.0,1,0.728622374178589,0.271377625821411,0.7677946149857829,0.40221462440388395
14,2,Martina Navratilova,1,Martina Navratilova,1.0,1,0.5305141347617757,0.46948586523822433,0.5526992513234684,0.5526992513234684
14,3,Jack Wagner,1,Jack Wagner,1.0,1,0.5856959576740104,0.4143040423259896,0.200367952816081,0.3765336020697747
14,4,Sherri Sheperd,1,Sherri Sheperd,1.0,1,0.6076285326660514,0.39237146733394856,0.4107431810593069,0.3879367950662855
14,5,Gavin DeGraw,1,Gavin DeGraw,1.0,1,0.6249679861434048,0.37503201385659524,0.615105663035641,0.44472901205862436
14,6,Gladys Knight,1,Gladys Knight,1.0,1,0.6487847079720624,0.35121529202793755,0.5108223977620323,0.45794768919930595
14,7,Jaleel White,1,Jaleel White,1.0,1,0.6748154863894809,0.32518451361051914,0.3933294304940552,0.44717797941509746
14,8,"Roshon Fegan, Melissa Gilbert",2,"Melissa Gilbert, Roshon Fegan",1.0,1,0.7009811557803959,0.2990188442196041,0.27541900211450854,0.4226409826578705
14,9,Maria Menounos,1,Maria Menounos,1.0,1,0.7265465357826786,0.2734534642173214,0.047189287553621485,0.3757095207698393
15,1,Pamela Anderson,1,Pamela Anderson,1.0,1,0.5581665365316173,0.4418334634683827,0.39907479704657056,0.39907479704657056
15,2,Joey Fatone,1,Joey Fatone,1.0,1,0.5871170724172822,0.41288292758271783,0.3036284644040686,0.3513516307253196
15,3,"Drew Lachey, Helio Castroneves",2,"Drew Lachey, Helio Castroneves",1.0,1,0.6120045427871567,0.38799545721284334,0.254342250253145,0.31901517056792805
15,4,Bristol Palin,1,Bristol Palin,1.0,1,0.6233969463159935,0.3766030536840065,0.596389611096431,0.3883587807000538
15,6,Sabrina Bryan,1,Sabrina Bryan,1.0,1,0.6699149156542726,0.33008508434572736,0.11854931547441293,0.3343968876549256
15,8,"Kirstie Alley, Gilles Marini",2,"Kirstie Alley, Gilles Marini",1.0,1,0.7113523849333553,0.2886476150666447,0.1251578217220861,0.2995237099994524
15,9,"Emmitt Smith, Apolo Anton Ohno",2,"Emmitt Smith, Apolo Anton Ohno",1.0,1,0.7310971262676996,0.2689028737323004,0.15219687964176618,0.27847701994835433
16,2,Dorothy Hamill,1,Dorothy Hamill,1.0,1,0.5479111883160493,0.45208881168395065,0.4560489537997258,0.4560489537997258
16,3,Wynonna Judd,1,Wynonna Judd,1.0,1,0.5688138448437036,0.43118615515629644,0.511394286280228,0.4837216200399769
16,4,Lisa Vanderpump,1,Lisa Vanderpump,1.0,1,0.5932604349922244,0.40673956500777564,0.5156582045372825,0.49436714820574545
16,5,D. L. Hughley,1,D. L. Hughley,1.0,1,0.6194993198929745,0.38050068010702554,0.49025607029922613,0.4933393787291156
16,6,Victor Ortiz,1,Victor Ortiz,1.0,1,0.6455322786771381,0.35446772132286186,0.4970714474647498,0.4940857924762424
16,7,Andy Dick,1,Andy Dick,1.0,1,0.6685046447117763,0.3314953552882237,0.7736026187942222,0.5406719301959058
16,8,Sean Lowe,1,Sean Lowe,1.0,1,0.6957022674663167,0.3042977325336833,0.5356157018419768,0.5399496118596302
16,9,Ingo Rademacher,1,Ingo Rademacher,1.0,1,0.7230606271950023,0.2769393728049977,0.46546304764845137,0.5306387913332328
16,10,Alexandra Raisman,1,Alexandra Raisman,1.0,1,0.75,0.25,0.42181507512350536,0.5185472673099297
17,2,Keyshawn Johnson,1,Keyshawn Johnson,1.0,1,0.5082751722721377,0.4917248277278623,0.6762490429325682,0.6762490429325682
17,3,Bill Nye,1,Bill Nye,1.0,1,0.5470376183252503,0.45296238167474967,0.5274473946684685,0.6018482188005183
17,4,Valerie Harper,1,Valerie Harper,1.0,1,0.5757497306098627,0.4242502693901373,0.5302379064733322,0.5779781146914563
17,5,Christina Milian,1,Christina Milian,1.0,1,0.6138306850106032,0.3861693149893968,0.13837615557218996,0.46807762491163973
17,7,"Nicole ""Snooki"" Polizzi",1,"Nicole ""Snooki"" Polizzi",1.0,1,0.661958733873498,0.338041266126502,0.2969352999264822,0.43384915991460826
17,8,Brant Daugherty,1,Brant Daugherty,1.0,1,0.684691418760984,0.31530858123901595,0.36161232432854246,0.4218096873169306
17,9,Elizabeth Berkley Lauren,1,Bill Engvall,0.0,0,0.7075893750360546,0.29241062496394543,0.22433457812220695,0.39359895743197004
17,10,Leah Remini,1,Leah Remini,1.0,1,0.7286679638561337,0.27133203614386625,0.44428842218937764,0.399935140526646
18,2,"Billy Dee Williams, Sean Avery",2,"Billy Dee Williams, Sean Avery",1.0,1,0.5398351532179698,0.4601648467820302,0.5009158154557228,0.5009158154557228
18,5,Cody Simpson,1,Cody Simpson,1.0,1,0.6231395658531869,0.37686043414681314,0.4210474582653997,0.46098163686056126
18,6,Drew Carey,1,Drew Carey,1.0,1,0.6540784554239459,0.34592154457605406,0.27542154548067754,0.3991282730672667
18,7,NeNe Leakes,1,NeNe Leakes,1.0,1,0.6802486125233205,0.3197513874766795,0.26936406830513177,0.36668722187673297
18,8,Danica McKellar,1,Danica McKellar,1.0,1,0.70528398637745,0.29471601362254995,0.16836373722084913,0.32702252494555617
18,9,Charlie White,1,Charlie White,1.0,1,0.7278528241842371,0.27214717581576287,0.270800926142312,0.3176522584783488
18,10,James Maslow,1,James Maslow,1.0,1,0.75,0.25,0.3447509372982173,0.3215234983097586
19,1,Lolo Jones,1,Lolo Jones,1.0,1,0.5618967387531509,0.43810326124684906,0.3783514513713832,0.3783514513713832
19,2,Tavis Smiley,1,Tavis Smiley,1.0,1,0.5859763192331925,0.4140236807668075,0.313298928465746,0.3458251899185646
19,3,Randy Couture,1,Randy Couture,1.0,1,0.6062664740405544,0.39373352595944555,0.3027980776513192,0.33148281916281613
19,4,Betsey Johnson,1,Betsey Johnson,1.0,1,0.6252770756270326,0.3747229243729674,0.29834279244702244,0.3231978124838677
19,6,Jonathan Bennett,1,Jonathan Bennett,1.0,1,0.662449303074875,0.33755069692512496,0.23780302368258227,0.3061188547236106
19,7,Antonio Sabato Jr.,1,Antonio Sabato Jr.,1.0,1,0.6796733966105554,0.32032660338944463,0.32995600883566323,0.31009171374228606
19,8,Michael Waltrip,1,Michael Waltrip,1.0,1,0.694941799527417,0.30505820047258303,0.6099571862144504,0.3529296383811667
19,9,Lea Thompson,1,Lea Thompson,1.0,1,0.7140981286292598,0.2859018713707402,0.17435283594075426,0.3306075380761151
19,10,Tommy Chong,1,Tommy Chong,1.0,1,0.7322017420309016,0.2677982579690984,0.2542686799402443,0.322125442727685
19,11,Bethany Mota,1,Bethany Mota,1.0,1,0.75,0.25,0.3619931431315782,0.32611221276807434
20,2,Redfoo,1,Redfoo,1.0,1,0.5855231812185064,0.41447681878149356,0.2470934376749643,0.2470934376749643
20,3,Charlotte McKinney,1,Charlotte McKinney,1.0,1,0.5757524425703491,0.4242475574296509,0.6322406249237773,0.4396670312993708
20,4,Michael Sam,1,Michael Sam,1.0,1,0.6010628227898536,0.39893717721014643,0.43038098651562334,0.43657168303812166
20,5,Suzanne Somers,1,Suzanne Somers,1.0,1,0.6284104770258989,0.3715895229741011,0.34680132329811747,0.4141290931031206
20,6,Patti LaBelle,1,Patti LaBelle,1.0,1,0.6589624595617113,0.3410375404382887,0.0677914297146646,0.3448615604254294
20,7,Willow Shields,1,Willow Shields,1.0,1,0.6817403588482139,0.31825964115178607,0.34321585580939173,0.3445872763227565
20,8,"Chris Soules, Robert Herjavec",2,"Robert Herjavec, Chris Soules",1.0,1,0.7040711830477792,0.29592881695222084,0.41029231240892927,0.35397371004935263
20,9,Nastia Liukin,1,Nastia Liukin,1.0,1,0.7279974277015775,0.2720025722984225,0.011987513538094453,0.31122543548544535
21,2,"Chaka Khan, Victor Espinoza, Kim Zolciak-Biermann",3,"Chaka Khan, Kim Zolciak-Biermann, Victor Espinoza",1.0,1,0.523005067730963,0.476994932269037,0.5944162903835387,0.5944162903835387
21,4,Gary Busey,1,Gary Busey,1.0,1,0.5758715774492108,0.4241284225507892,0.5597992698658302,0.5771077801246844
21,6,Paula Deen,1,Paula Deen,1.0,1,0.6339862738425012,0.36601372615749883,0.3261962244755949,0.4934705949083213
21,7,Hayes Grier,1,Hayes Grier,1.0,1,0.6607084785359519,0.33929152146404806,0.3174976218107732,0.44947735163393426
21,8,Andy Grammer,1,Andy Grammer,1.0,1,0.6836466738170597,0.3163533261829403,0.39820110870928255,0.4392221030490039
21,9,"Tamar Braxton, Alexa PenaVega",2,"Tamar Braxton, Alek Skarlatos",0.5,0,0.7077019300672202,0.29229806993277985,0.14859997467195557,0.39078508165282916
21,11,Carlos PenaVega,1,Carlos PenaVega,1.0,1,0.75,0.25,0.0052009444257081665,0.3357016334775262
22,2,Geraldo Rivera,1,Geraldo Rivera,1.0,1,0.535278855786293,0.464721144213707,0.5262285789650388,0.5262285789650388
22,3,Mischa Barton,1,Mischa Barton,1.0,1,0.5758570732787383,0.42414292672126175,0.3517768397176493,0.43900270934134406
22,4,Marla Maples,1,Marla Maples,1.0,1,0.6026048038976712,0.39739519610232876,0.3974433835912824,0.4251496007579902
22,6,Doug Flutie,1,Doug Flutie,1.0,1,0.6548869511526246,0.34511304884737537,0.28513114649826554,0.390144987193059
22,7,"Von Miller, Kim Fields",2,"Von Miller, Kim Fields",1.0,1,0.6829098074370156,0.31709019256298443,0.07573061144883239,0.3272621120442137
22,8,Jodie Sweetin,1,Wanya Morris,0.0,0,0.7056767101887883,0.2943232898112117,0.2734614146071612,0.31829532913803826
22,9,Antonio Brown,1,Antonio Brown,1.0,1,0.7284756199862714,0.2715243800137286,0.1200351405540021,0.2899724450546045
23,2,Jake T. Austin,1,Jake T. Austin,1.0,1,0.5519246451718149,0.44807535482818506,0.43375197126769466,0.43375197126769466
23,3,Rick Perry,1,Rick Perry,1.0,1,0.5835901814159786,0.4164098185840214,0.31303742769923887,0.37339469948346676
23,4,"Vanilla Ice, Babyface",2,"Babyface, Vanilla Ice",1.0,1,0.6077460252347294,0.3922539747652706,0.3015100602888626,0.3494331530852654
23,6,Amber Rose,1,Amber Rose,1.0,1,0.6440939964756995,0.35590600352430046,0.5212740150495554,0.3923933685763379
23,7,Maureen McCormick,1,Maureen McCormick,1.0,1,0.6693541982395648,0.33064580176043523,0.13745580238852106,0.34140585533877454
23,8,Ryan Lochte,1,Ryan Lochte,1.0,1,0.6890847123677015,0.3109152876322985,0.3844994865359633,0.3485881272049727
23,9,Marilu Henner,1,Marilu Henner,1.0,1,0.7108272998646635,0.28917270013533647,0.09702709378737974,0.31265083671674515
23,10,Terra Jole,1,Terra Jole,1.0,1,0.73113140874889,0.26886859125110996,0.025547310093415165,0.27676289588882885
23,11,Jana Kramer,1,Jana Kramer,1.0,1,0.75,0.25,0.26072906140042085,0.2749813587234502
24,2,Chris Kattan,1,Chris Kattan,1.0,1,0.5641998360662961,0.4358001639337039,0.36555646629835453,0.36555646629835453
24,3,Charo,1,Charo,1.0,1,0.5889597809105317,0.4110402190894683,0.3460653634091796,0.35581091485376704
24,4,Mr. T,1,Mr. T,1.0,1,0.6152951044614197,0.38470489553858034,0.2818202933720273,0.3311473743598538
24,5,Erika Jayne,1,Erika Jayne,1.0,1,0.6423323386284261,0.3576676613715739,0.16807472568751144,0.2903792121917682
24,6,Heather Morris,1,Nick Viall,0.0,0,0.6673139991139841,0.33268600088601585,0.09881653378936422,0.25206667651128745
24,7,Nancy Kerrigan,1,Bonner Bolton,0.0,0,0.6882869309529631,0.3117130690470369,0.22527275495794868,0.2476010229190643
24,9,Simone Biles,1,Simone Biles,1.0,1,0.7300405682096657,0.2699594317903343,0.05732819725630497,0.22041919068152724
25,2,"Debbie Gibson, Barbara Corcoran",2,"Barbara Corcoran, Debbie Gibson",1.0,1,0.5773451503506869,0.4226548496493131,0.2925269424961839,0.2925269424961839
25,4,Derek Fisher,1,Derek Fisher,1.0,1,0.615345945442452,0.384654054557548,0.3690146065045265,0.3307707745003552
25,5,Sasha Pieterse,1,Sasha Pieterse,1.0,1,0.6341245351385475,0.3658754648614525,0.428470847304689,0.3633374654351331
25,6,Nick Lachey,1,Nick Lachey,1.0,1,0.6544811282083931,0.3455188717916069,0.48860412776601825,0.3946541310178544
25,7,"Nikki Bella, Vanessa Lachey",2,"Nikki Bella, Vanessa Lachey",1.0,1,0.6814202625550569,0.31857973744494306,0.1680306940725145,0.34932944362878643
25,8,Terrell Owens,1,Drew Scott,0.0,0,0.7043918670384341,0.29560813296156585,0.3344371767315213,0.3468473991459089
25,9,Victoria Arlen,1,Victoria Arlen,1.0,1,0.7274370559574549,0.2725629440425451,0.27183152947191636,0.3361308463353385
26,1,"Johnny Damon, Jamie Anderson",2,"Johnny Damon, Jamie Anderson",1.0,1,0.5461051625165297,0.45389483748347026,0.4660824304637236,0.4660824304637236
26,2,"Kareem Abdul-Jabbar, Arike Ogunbowale",2,"Kareem Abdul-Jabbar, Arike Ogunbowale",1.0,1,0.6230095433187519,0.3769904566812481,0.31709184755707703,0.3915871390104003
26,3,"Chris Mazdzer, Mirai Nagasu, Jennie Finch Daigle",3,"Jennie Finch Daigle, Chris Mazdzer, Mirai Nagasu",1.0,1,0.6813387783047598,0.31866122169524025,0.6498868067412111,0.47768702825400394
27,1,Nikki Glaser,1,Nikki Glaser,1.0,1,0.5618029877466334,0.4381970122533666,0.3788722902964812,0.3788722902964812
27,2,Danelle Umstead,1,Danelle Umstead,1.0,1,0.5881180286947998,0.4118819713052002,0.3434384564362191,0.3611553733663502
27,3,Nancy McKeon,1,Nancy McKeon,1.0,1,0.6117466039545343,0.3882533960454657,0.3499869431665363,0.35743256329974554
27,4,Tinashe,1,John Schneider,0.0,0,0.6392932685156355,0.3607067314843645,0.19727498510038938,0.31739316874990653
27,6,Mary Lou Retton,1,Mary Lou Retton,1.0,1,0.684602595375264,0.315397404624736,0.24134618609192332,0.3021837722183099
27,7,DeMarcus Ware,1,DeMarcus Ware,1.0,1,0.706972864488483,0.29302713551151705,0.22603254044406518,0.28949190025593574
27,8,"Juan Pablo Di Pace, Joe Amabile",2,"Joe Amabile, Bobby Bones",0.5,0,0.7288284186108902,0.2711715813891098,0.18309614174300548,0.27429250618266
28,2,"Mary Wilson, Ray Lewis",2,"Lamar Odom, Ray Lewis",0.5,0,0.5441343724768325,0.4558656275231675,0.477031264017597,0.477031264017597
28,6,Sailor Brinkley-Cook,1,Hannah Brown,0.0,0,0.6400103226861702,0.3599896773138298,0.3894289489256639,0.4332301064716304
28,7,Karamo Brown,1,Sean Spicer,0.0,0,0.6642089631253855,0.33579103687461453,0.35070366985478546,0.4057212942660154
28,8,Kate Flannery,1,Lauren Alaina,0.0,0,0.6856202494323652,0.3143797505676348,0.40815282171093786,0.406329176127246
28,10,James Van Der Beek,1,James Van Der Beek,1.0,1,0.7283934123810364,0.2716065876189636,0.4429968668985854,0.4136627142815139
