season,week,celebrity_name,ballroom_partner,partner_total_seasons_rank,partner_avg_placement_rank,partner_final_rate_rank,celebrity_industry_rank,celebrity_homestate_rank,celebrity_homecountry/region_rank,celebrity_age_during_season_rank,age_group_rank,results_rank,placement_rank,week1_judge1_score_rank,week1_judge2_score_rank,week1_judge3_score_rank,week1_judge4_score_rank,week2_judge1_score_rank,week2_judge2_score_rank,week2_judge3_score_rank,week2_judge4_score_rank,week3_judge1_score_rank,week3_judge2_score_rank,week3_judge3_score_rank,week3_judge4_score_rank,week4_judge1_score_rank,week4_judge2_score_rank,week4_judge3_score_rank,week4_judge4_score_rank,week5_judge1_score_rank,week5_judge2_score_rank,week5_judge3_score_rank,week5_judge4_score_rank,week6_judge1_score_rank,week6_judge2_score_rank,week6_judge3_score_rank,week6_judge4_score_rank,week7_judge1_score_rank,week7_judge2_score_rank,week7_judge3_score_rank,week7_judge4_score_rank,week8_judge1_score_rank,week8_judge2_score_rank,week8_judge3_score_rank,week8_judge4_score_rank,week9_judge1_score_rank,week9_judge2_score_rank,week9_judge3_score_rank,week9_judge4_score_rank,week10_judge1_score_rank,week10_judge2_score_rank,week10_judge3_score_rank,week10_judge4_score_rank,week11_judge1_score_rank,week11_judge2_score_rank,week11_judge3_score_rank,week11_judge4_score_rank,week_total_judge_rank,season_total_weeks_rank,weekly_contestant_count_rank,weekly_sum_judge_rank,weekly_mean_judge_rank,weekly_std_judge_rank,judge_pct_rank,judge_share_rank,judge_zscore_rank,rank_pct_rank,popularity_deviation_rank,judge_rank_interaction_rank,judge_popularity_interaction_rank,rank_popularity_interaction_rank,cumulative_weeks_rank,relative_cumulative_weeks_rank,week_total_judge_change_rank,week_total_judge_trend_rank,survival_advantage_rank,weekly_judge_rank_rank,weekly_judge_rank_pct_rank,weekly_judge_share_rank_rank,weekly_judge_share_rank_pct_rank,composite_attractiveness_rank,elimination_week_rank,is_eliminated_this_week_rank,judge_rank,fan_rank,rank_sum,predicted_eliminated_rank,partner_total_seasons_percent,partner_avg_placement_percent,partner_final_rate_percent,celebrity_industry_percent,celebrity_homestate_percent,celebrity_homecountry/region_percent,celebrity_age_during_season_percent,age_group_percent,results_percent,placement_percent,week1_judge1_score_percent,week1_judge2_score_percent,week1_judge3_score_percent,week1_judge4_score_percent,week2_judge1_score_percent,week2_judge2_score_percent,week2_judge3_score_percent,week2_judge4_score_percent,week3_judge1_score_percent,week3_judge2_score_percent,week3_judge3_score_percent,week3_judge4_score_percent,week4_judge1_score_percent,week4_judge2_score_percent,week4_judge3_score_percent,week4_judge4_score_percent,week5_judge1_score_percent,week5_judge2_score_percent,week5_judge3_score_percent,week5_judge4_score_percent,week6_judge1_score_percent,week6_judge2_score_percent,week6_judge3_score_percent,week6_judge4_score_percent,week7_judge1_score_percent,week7_judge2_score_percent,week7_judge3_score_percent,week7_judge4_score_percent,week8_judge1_score_percent,week8_judge2_score_percent,week8_judge3_score_percent,week8_judge4_score_percent,week9_judge1_score_percent,week9_judge2_score_percent,week9_judge3_score_percent,week9_judge4_score_percent,week10_judge1_score_percent,week10_judge2_score_percent,week10_judge3_score_percent,week10_judge4_score_percent,week11_judge1_score_percent,week11_judge2_score_percent,week11_judge3_score_percent,week11_judge4_score_percent,season_total_weeks_percent,weekly_contestant_count_percent,weekly_sum_judge_percent,weekly_mean_judge_percent,weekly_std_judge_percent,judge_pct_percent,judge_share_percent,judge_zscore_percent,rank_pct_percent,popularity_deviation_percent,judge_rank_interaction_percent,judge_popularity_interaction_percent,rank_popularity_interaction_percent,cumulative_weeks_percent,relative_cumulative_weeks_percent,week_total_judge_change_percent,week_total_judge_trend_percent,survival_advantage_percent,weekly_judge_rank_percent,weekly_judge_rank_pct_percent,weekly_judge_share_rank_percent,weekly_judge_share_rank_pct_percent,composite_attractiveness_percent,elimination_week_percent,is_eliminated_this_week_percent,judge_percent,fan_votes_relative,combined_percent,predicted_eliminated_percent,week_total_judge,age_group_label,region_label,judge_adjustment_factor,judge_adjustment_note,judge_score_original,judge_score_adjusted,week_judge1_weight,week_judge2_weight,week_judge3_weight,week_judge4_weight,week_total_judge_weighted,judge_score_weighted_adjusted,judge_score_final_adjusted,judge_score_final_percent,fan_votes_relative_percent
8,4,Gilles Marini,Cheryl Burke,25,5.8,0.32,Actor/Actress,Unknown,France,33,25-34,2nd Place,2,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,11,11,242.0,22.0,5.916079783099615,1.0,0.1239669421487603,1.3522468075656269,1.0,0.0,1.0,0.0,0.0,4,0.3636363636363636,3.0,28.5,0.0,1,0.0909090909090909,1,0.0909090909090909,0.9008484489447204,,False,1,1,2,False,25,5.8,0.32,Actor/Actress,Unknown,France,33,25-34,2nd Place,2,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,242.0,22.0,5.916079783099615,1.0,0.1239669421487603,1.3522468075656269,1.0,0.0,1.0,0.0,0.0,4,0.3636363636363636,3.0,28.5,0.0,1,0.0909090909090909,1,0.0909090909090909,0.8854869116016723,,False,0.1239669421487603,1.0,0.265422910178714,False,30.0,25-34,others,1.0,无显著单向影响,30.0,30.0,1.0263157209143061,0.9631579907199715,1.0105262883657224,1.0,30.0,30.0,30.0,0.12257115662773285,0.14145596802995367
8,4,Holly Madison,Dmitry Chaplin,3,7.0,0.3333333333333333,TV Personality,Oregon,United States,30,25-34,Eliminated Week 4,11,,,,,,,,,,,,,5.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,11,11,242.0,22.0,5.916079783099615,0.5333333333333333,0.0661157024793388,-1.01418510567422,0.2727272727272727,-0.2606060606060606,0.1454545454545454,-0.138989898989899,-0.0710743801652892,4,0.3636363636363636,-1.0,16.5,0.0,9,0.8181818181818182,9,0.8181818181818182,0.1873191396562877,4.0,True,9,9,18,False,3,7.0,0.3333333333333333,TV Personality,Oregon,United States,30,25-34,Eliminated Week 4,11,,,,,,,,,,,,,5.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,242.0,22.0,5.916079783099615,0.5333333333333333,0.0661157024793388,-1.01418510567422,0.2727272727272727,-0.2606060606060606,0.1454545454545454,-0.138989898989899,-0.0710743801652892,4,0.3636363636363636,-1.0,16.5,0.0,9,0.8181818181818182,9,0.8181818181818182,0.162698407704252,4.0,True,0.0661157024793388,0.0718804963651305,0.0762836276751419,True,16.0,25-34,others,1.0,无显著单向影响,16.0,16.0,1.0263157209143061,0.9631579907199715,1.0105262883657224,1.0,15.963157990719973,15.963157990719973,15.963157990719973,0.0652207579451261,0.010167925195803099
8,4,Lawrence Taylor,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Athlete,Virginia,United States,50,45-54,Eliminated Week 7,7,,,,,,,,,,,,,7.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,11,11,242.0,22.0,5.916079783099615,0.6333333333333333,0.0785123966942148,-0.50709255283711,0.3636363636363636,-0.2696969696969696,0.2303030303030303,-0.1708080808080807,-0.0980716253443526,4,0.3636363636363636,-1.0,19.5,0.0,8,0.7272727272727273,8,0.7272727272727273,0.3445748261858808,7.0,False,8,8,16,False,11,7.545454545454546,0.1818181818181818,Athlete,Virginia,United States,50,45-54,Eliminated Week 7,7,,,,,,,,,,,,,7.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,242.0,22.0,5.916079783099615,0.6333333333333333,0.0785123966942148,-0.50709255283711,0.3636363636363636,-0.2696969696969696,0.2303030303030303,-0.1708080808080807,-0.0980716253443526,4,0.3636363636363636,-1.0,19.5,0.0,8,0.7272727272727273,8,0.7272727272727273,0.5105426816846338,7.0,False,0.0785123966942148,0.5185409691978885,0.1518631114552925,False,19.0,45-54,others,1.0733044097246225,age:45-54,19.0,20.39278378476783,1.0263157209143061,0.9631579907199715,1.0105262883657224,1.0,19.07368401856006,20.471869166814567,20.471869166814567,0.0836420227369361,0.0733507147610777
8,4,Lil' Kim,Derek Hough,17,2.9411764705882355,0.5294117647058824,Singer/Rapper,New York,United States,34,25-34,Eliminated Week 9,5,,,,,,,,,,,,,9.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,11,11,242.0,22.0,5.916079783099615,0.9,0.1115702479338843,0.8451542547285167,0.8181818181818181,-0.0818181818181819,0.7363636363636363,-0.0736363636363637,-0.0669421487603306,4,0.3636363636363636,2.0,26.0,0.0,3,0.2727272727272727,3,0.2727272727272727,0.6959726536477533,9.0,False,3,6,9,False,17,2.9411764705882355,0.5294117647058824,Singer/Rapper,New York,United States,34,25-34,Eliminated Week 9,5,,,,,,,,,,,,,9.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,242.0,22.0,5.916079783099615,0.9,0.1115702479338843,0.8451542547285167,0.8181818181818181,-0.0818181818181819,0.7363636363636363,-0.0736363636363637,-0.0669421487603306,4,0.3636363636363636,2.0,26.0,0.0,3,0.2727272727272727,3,0.2727272727272727,0.8462818128833884,9.0,False,0.1115702479338843,0.9496574494943354,0.2459049617489623,False,27.0,25-34,United States - New York,1.0,无显著单向影响,27.0,27.0,1.0263157209143061,0.9631579907199715,1.0105262883657224,1.0,27.047368297645754,27.047368297645754,27.047368297645754,0.11050757386595712,0.13433471381507803
8,4,Melissa Rycroft,Tony Dovolani,21,7.666666666666667,0.1428571428571428,TV Personality,Texas,United States,26,25-34,3rd Place,3,,,,,,,,,,,,,10.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,11,11,242.0,22.0,5.916079783099615,0.9666666666666668,0.1198347107438016,1.1832159566199234,0.9090909090909092,-0.0575757575757576,0.8787878787878788,-0.0556565656565656,-0.0523415977961432,4,0.3636363636363636,2.0,28.0,0.0,2,0.1818181818181818,2,0.1818181818181818,0.89268875025122,,False,2,2,4,False,21,7.666666666666667,0.1428571428571428,TV Personality,Texas,United States,26,25-34,3rd Place,3,,,,,,,,,,,,,10.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,242.0,22.0,5.916079783099615,0.9666666666666668,0.1198347107438016,1.1832159566199234,0.9090909090909092,-0.0575757575757576,0.8787878787878788,-0.0556565656565656,-0.0523415977961432,4,0.3636363636363636,2.0,28.0,0.0,2,0.1818181818181818,2,0.1818181818181818,0.8317093304633596,,False,0.1198347107438016,0.93094519123694,0.2515224639530533,False,29.0,25-34,United States - Texas,1.0,无显著单向影响,29.0,29.0,1.0263157209143061,0.9631579907199715,1.0105262883657224,1.0,29.03684200928003,29.03684200928003,29.03684200928003,0.11863597699647319,0.13168775320925166
8,4,Shawn Johnson,Mark Ballas,21,5.190476190476191,0.4761904761904761,Athlete,Iowa,United States,17,<25,1st Place,1,,,,,,,,,,,,,8.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,11,11,242.0,22.0,5.916079783099615,0.8333333333333334,0.1033057851239669,0.50709255283711,0.7272727272727273,-0.106060606060606,0.6060606060606061,-0.0883838383838384,-0.0771349862258953,4,0.3636363636363636,-2.0,26.0,0.0,4,0.3636363636363636,4,0.3636363636363636,0.868691738401051,,False,4,3,7,False,21,5.190476190476191,0.4761904761904761,Athlete,Iowa,United States,17,<25,1st Place,1,,,,,,,,,,,,,8.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,242.0,22.0,5.916079783099615,0.8333333333333334,0.1033057851239669,0.50709255283711,0.7272727272727273,-0.106060606060606,0.6060606060606061,-0.0883838383838384,-0.0771349862258953,4,0.3636363636363636,-2.0,26.0,0.0,4,0.3636363636363636,4,0.3636363636363636,0.8198359940507155,,False,0.1033057851239669,0.9156988570210916,0.2328368533678075,False,25.0,<25,others,0.9380668743242466,age:<25,25.0,23.451671858106167,1.0263157209143061,0.9631579907199715,1.0105262883657224,1.0,25.010526288365725,23.461546220531638,23.461546220531638,0.09585696188418591,0.12953106824384064
8,4,Steve Wozniak,Karina Smirnoff,18,6.722222222222222,0.2222222222222222,Entrepreneur,California,United States,58,55-64,Eliminated Week 4,10,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11,11,242.0,22.0,5.916079783099615,0.4,0.0495867768595041,-1.6903085094570334,0.0909090909090909,-0.3090909090909091,0.0363636363636363,-0.1236363636363636,-0.028099173553719,4,0.3636363636363636,2.0,11.0,0.0,11,1.0,11,1.0,0.0803861227160744,4.0,True,11,11,22,True,18,6.722222222222222,0.2222222222222222,Entrepreneur,California,United States,58,55-64,Eliminated Week 4,10,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,242.0,22.0,5.916079783099615,0.4,0.0495867768595041,-1.6903085094570334,0.0909090909090909,-0.3090909090909091,0.0363636363636363,-0.1236363636363636,-0.028099173553719,4,0.3636363636363636,2.0,11.0,0.0,11,1.0,11,1.0,0.10672027533694,4.0,True,0.0495867768595041,0.0,0.0495867768595041,True,12.0,55-64,United States - California,1.0901192386498493,age:55-64,12.0,13.081430863798191,1.0263157209143061,0.9631579907199715,1.0105262883657224,1.0,12.0,13.081430863798191,13.081430863798191,0.05344687037738223,0.0
8,4,Steve-O,Lacey Schwimmer,6,6.166666666666667,0.3333333333333333,TV Personality,Unknown,England,34,25-34,Eliminated Week 6,8,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,11,11,242.0,22.0,5.916079783099615,0.5,0.0619834710743801,-1.1832159566199234,0.1818181818181817,-0.3181818181818182,0.0909090909090908,-0.1590909090909091,-0.0578512396694214,4,0.3636363636363636,0.0,15.0,0.0,10,0.9090909090909092,10,0.9090909090909092,0.1741582982892485,6.0,False,10,10,20,True,6,6.166666666666667,0.3333333333333333,TV Personality,Unknown,England,34,25-34,Eliminated Week 6,8,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,242.0,22.0,5.916079783099615,0.5,0.0619834710743801,-1.1832159566199234,0.1818181818181817,-0.3181818181818182,0.0909090909090908,-0.1590909090909091,-0.0578512396694214,4,0.3636363636363636,0.0,15.0,0.0,10,0.9090909090909092,10,0.9090909090909092,0.3378752905709422,6.0,False,0.0619834710743801,0.2968219290219102,0.1039707043766926,False,15.0,25-34,others,1.0,无显著单向影响,15.0,15.0,1.0263157209143061,0.9631579907199715,1.0105262883657224,1.0,15.0,15.0,15.0,0.061285578313866426,0.0419872333023125
8,4,Ty Murray,Chelsie Hightower,7,7.285714285714286,0.0,Athlete,Arizona,United States,39,35-44,Eliminated Week 10,4,,,,,,,,,,,,,9.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,11,11,242.0,22.0,5.916079783099615,0.8333333333333334,0.1033057851239669,0.50709255283711,0.7272727272727273,-0.106060606060606,0.6060606060606061,-0.0883838383838384,-0.0771349862258953,4,0.3636363636363636,2.0,24.0,0.0,4,0.3636363636363636,4,0.3636363636363636,0.8683359524352596,10.0,False,4,4,8,False,7,7.285714285714286,0.0,Athlete,Arizona,United States,39,35-44,Eliminated Week 10,4,,,,,,,,,,,,,9.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,242.0,22.0,5.916079783099615,0.8333333333333334,0.1033057851239669,0.50709255283711,0.7272727272727273,-0.106060606060606,0.6060606060606061,-0.0883838383838384,-0.0771349862258953,4,0.3636363636363636,2.0,24.0,0.0,4,0.3636363636363636,4,0.3636363636363636,0.7402232985333532,10.0,False,0.1033057851239669,0.8134696502086173,0.2183759219572146,False,25.0,35-44,others,1.0,无显著单向影响,25.0,25.0,1.0263157209143061,0.9631579907199715,1.0105262883657224,1.0,25.026315720914308,25.026315720914308,25.026315720914308,0.10225014880144269,0.11507013683324775
8,5,Chuck Wicks,Julianne Hough,5,4.2,0.4,Singer/Rapper,Delaware,United States,29,25-34,Eliminated Week 8,6,,,,,,,,,,,,,,,,,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,11,9,210.0,23.33333333333333,3.4641016151377544,0.7931034482758621,0.1095238095238095,-0.0962250448649373,0.5555555555555556,-0.2375478927203065,0.4406130268199234,-0.1884000528471396,-0.1319710515112814,5,0.4545454545454545,1.0,22.5,0.0,5,0.5555555555555556,5,0.5555555555555556,0.8829080848435209,8.0,False,5,4,9,False,5,4.2,0.4,Singer/Rapper,Delaware,United States,29,25-34,Eliminated Week 8,6,,,,,,,,,,,,,,,,,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,210.0,23.33333333333333,3.4641016151377544,0.7931034482758621,0.1095238095238095,-0.0962250448649373,0.5555555555555556,-0.2375478927203065,0.4406130268199234,-0.1884000528471396,-0.1319710515112814,5,0.4545454545454545,1.0,22.5,0.0,5,0.5555555555555556,5,0.5555555555555556,0.6877083216406323,8.0,False,0.1095238095238095,0.7327669098920122,0.2379316857562375,False,23.0,25-34,others,1.0,无显著单向影响,23.0,23.0,1.0071428364796515,0.964285817601742,1.0285713459186065,1.0,22.99285716352035,22.99285716352035,22.99285716352035,0.10868815129952071,0.128407876232428
8,5,David Alan Grier,Kym Johnson,14,6.285714285714286,0.2857142857142857,Actor/Actress,Michigan,United States,52,45-54,Eliminated Week 5,9,,,,,,,,,,,,,,,,,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,11,9,210.0,23.33333333333333,3.4641016151377544,0.7586206896551724,0.1047619047619047,-0.3849001794597502,0.4444444444444444,-0.3141762452107279,0.3371647509578543,-0.238340599815035,-0.1396338867603235,5,0.4545454545454545,0.0,22.0,0.0,6,0.6666666666666666,6,0.6666666666666666,0.5722522236403607,5.0,True,6,7,13,False,14,6.285714285714286,0.2857142857142857,Actor/Actress,Michigan,United States,52,45-54,Eliminated Week 5,9,,,,,,,,,,,,,,,,,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,210.0,23.33333333333333,3.4641016151377544,0.7586206896551724,0.1047619047619047,-0.3849001794597502,0.4444444444444444,-0.3141762452107279,0.3371647509578543,-0.238340599815035,-0.1396338867603235,5,0.4545454545454545,0.0,22.0,0.0,6,0.6666666666666666,6,0.6666666666666666,0.1887333184108728,5.0,True,0.1047619047619047,0.0,0.1047619047619047,True,22.0,45-54,others,1.0733044097246225,age:45-54,22.0,23.612697013941695,1.0071428364796515,0.964285817601742,1.0285713459186065,1.0,21.96428581760174,23.574364824483933,23.574364824483933,0.11143696116630473,0.0
8,5,Gilles Marini,Cheryl Burke,25,5.8,0.32,Actor/Actress,Unknown,France,33,25-34,2nd Place,2,,,,,,,,,,,,,,,,,10.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,11,9,210.0,23.33333333333333,3.4641016151377544,1.0,0.1380952380952381,1.63582576270394,1.0,0.0,1.0,0.0,0.0,5,0.4545454545454545,-1.0,29.5,0.0,1,0.1111111111111111,1,0.1111111111111111,0.9195949606422792,,False,1,2,3,False,25,5.8,0.32,Actor/Actress,Unknown,France,33,25-34,2nd Place,2,,,,,,,,,,,,,,,,,10.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,210.0,23.33333333333333,3.4641016151377544,1.0,0.1380952380952381,1.63582576270394,1.0,0.0,1.0,0.0,0.0,5,0.4545454545454545,-1.0,29.5,0.0,1,0.1111111111111111,1,0.1111111111111111,0.8696797373796189,,False,0.1380952380952381,1.0,0.3133322397924782,False,29.0,25-34,others,1.0,无显著单向影响,29.0,29.0,1.0071428364796515,0.964285817601742,1.0285713459186065,1.0,29.035714182398262,29.035714182398262,29.035714182398262,0.1372529770311922,0.17523700169724019
8,5,Lawrence Taylor,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Athlete,Virginia,United States,50,45-54,Eliminated Week 7,7,,,,,,,,,,,,,,,,,6.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,11,9,210.0,23.33333333333333,3.4641016151377544,0.6896551724137931,0.0952380952380952,-0.962250448649376,0.2222222222222222,-0.4674329501915709,0.1532567049808429,-0.3223675518562558,-0.1038739889314602,5,0.4545454545454545,1.0,19.5,0.0,8,0.8888888888888888,8,0.8888888888888888,0.369502157229345,7.0,False,8,9,17,True,11,7.545454545454546,0.1818181818181818,Athlete,Virginia,United States,50,45-54,Eliminated Week 7,7,,,,,,,,,,,,,,,,,6.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,210.0,23.33333333333333,3.4641016151377544,0.6896551724137931,0.0952380952380952,-0.962250448649376,0.2222222222222222,-0.4674329501915709,0.1532567049808429,-0.3223675518562558,-0.1038739889314602,5,0.4545454545454545,1.0,19.5,0.0,8,0.8888888888888888,8,0.8888888888888888,0.2683304135970015,7.0,False,0.0952380952380952,0.1168918625149301,0.1157218747480176,False,20.0,45-54,others,1.0733044097246225,age:45-54,20.0,21.46608819449245,1.0071428364796515,0.964285817601742,1.0285713459186065,1.0,19.99285716352035,21.4584217566009,21.4584217566009,0.10143481403566809,0.020483779509922372
8,5,Lil' Kim,Derek Hough,17,2.9411764705882355,0.5294117647058824,Singer/Rapper,New York,United States,34,25-34,Eliminated Week 9,5,,,,,,,,,,,,,,,,,9.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,11,9,210.0,23.33333333333333,3.4641016151377544,0.896551724137931,0.1238095238095238,0.7698003589195014,0.8888888888888888,-0.0076628352490422,0.7969348659003831,-0.0068701281543137,-0.0068114091102597,5,0.4545454545454545,-1.0,26.5,0.0,2,0.2222222222222222,2,0.2222222222222222,0.9276833979287992,9.0,False,2,1,3,False,17,2.9411764705882355,0.5294117647058824,Singer/Rapper,New York,United States,34,25-34,Eliminated Week 9,5,,,,,,,,,,,,,,,,,9.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,210.0,23.33333333333333,3.4641016151377544,0.896551724137931,0.1238095238095238,0.7698003589195014,0.8888888888888888,-0.0076628352490422,0.7969348659003831,-0.0068701281543137,-0.0068114091102597,5,0.4545454545454545,-1.0,26.5,0.0,2,0.2222222222222222,2,0.2222222222222222,0.8498776894285638,9.0,False,0.1238095238095238,0.9709198148349996,0.2939506010496487,False,26.0,25-34,United States - New York,1.0,无显著单向影响,26.0,26.0,1.0071428364796515,0.964285817601742,1.0285713459186065,1.0,26.03571418239826,26.03571418239826,26.03571418239826,0.12307185758267561,0.17014107724012495
8,5,Melissa Rycroft,Tony Dovolani,21,7.666666666666667,0.1428571428571428,TV Personality,Texas,United States,26,25-34,3rd Place,3,,,,,,,,,,,,,,,,,8.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,11,9,210.0,23.33333333333333,3.4641016151377544,0.8620689655172413,0.119047619047619,0.4811252243246885,0.6666666666666667,-0.1954022988505745,0.574712643678161,-0.1684502576298056,-0.1302681992337164,5,0.4545454545454545,-4.0,27.0,0.0,4,0.4444444444444444,4,0.4444444444444444,0.8382306367508315,,False,4,5,9,False,21,7.666666666666667,0.1428571428571428,TV Personality,Texas,United States,26,25-34,3rd Place,3,,,,,,,,,,,,,,,,,8.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,210.0,23.33333333333333,3.4641016151377544,0.8620689655172413,0.119047619047619,0.4811252243246885,0.6666666666666667,-0.1954022988505745,0.574712643678161,-0.1684502576298056,-0.1302681992337164,5,0.4545454545454545,-4.0,27.0,0.0,4,0.4444444444444444,4,0.4444444444444444,0.7363374893828192,,False,0.119047619047619,0.8041809982660033,0.2599698860056469,False,25.0,25-34,United States - Texas,1.0,无显著单向影响,25.0,25.0,1.0071428364796515,0.964285817601742,1.0285713459186065,1.0,25.028571345918607,25.028571345918607,25.028571345918607,0.1183110532940637,0.14092226695802793
8,5,Shawn Johnson,Mark Ballas,21,5.190476190476191,0.4761904761904761,Athlete,Iowa,United States,17,<25,1st Place,1,,,,,,,,,,,,,,,,,9.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,11,9,210.0,23.33333333333333,3.4641016151377544,0.896551724137931,0.1238095238095238,0.7698003589195014,0.8888888888888888,-0.0076628352490422,0.7969348659003831,-0.0068701281543137,-0.0068114091102597,5,0.4545454545454545,1.0,25.5,0.0,2,0.2222222222222222,2,0.2222222222222222,0.8867409885433253,,False,2,3,5,False,21,5.190476190476191,0.4761904761904761,Athlete,Iowa,United States,17,<25,1st Place,1,,,,,,,,,,,,,,,,,9.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,210.0,23.33333333333333,3.4641016151377544,0.896551724137931,0.1238095238095238,0.7698003589195014,0.8888888888888888,-0.0076628352490422,0.7969348659003831,-0.0068701281543137,-0.0068114091102597,5,0.4545454545454545,1.0,25.5,0.0,2,0.2222222222222222,2,0.2222222222222222,0.8563415490758095,,False,0.1238095238095238,0.9804122792450992,0.2956140320515923,False,26.0,<25,others,0.9380668743242466,age:<25,26.0,24.389738732430413,1.0071428364796515,0.964285817601742,1.0285713459186065,1.0,26.03571418239826,24.423241023881793,24.423241023881793,0.11544963275985935,0.17180450824206858
8,5,Steve-O,Lacey Schwimmer,6,6.166666666666667,0.3333333333333333,TV Personality,Unknown,England,34,25-34,Eliminated Week 6,8,,,,,,,,,,,,,,,,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,11,9,210.0,23.33333333333333,3.4641016151377544,0.6206896551724138,0.0857142857142857,-1.539600717839002,0.1111111111111111,-0.5095785440613027,0.0689655172413793,-0.3162901307966706,-0.0566198382290336,5,0.4545454545454545,3.0,16.5,0.0,9,1.0,9,1.0,0.5687064566947881,6.0,False,9,8,17,False,6,6.166666666666667,0.3333333333333333,TV Personality,Unknown,England,34,25-34,Eliminated Week 6,8,,,,,,,,,,,,,,,,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,210.0,23.33333333333333,3.4641016151377544,0.6206896551724138,0.0857142857142857,-1.539600717839002,0.1111111111111111,-0.5095785440613027,0.0689655172413793,-0.3162901307966706,-0.0566198382290336,5,0.4545454545454545,3.0,16.5,0.0,9,1.0,9,1.0,0.5327095661832255,6.0,False,0.0857142857142857,0.5051443670021568,0.1742342700119939,False,18.0,25-34,others,1.0,无显著单向影响,18.0,18.0,1.0071428364796515,0.964285817601742,1.0285713459186065,1.0,18.0,18.0,18.0,0.08508671669109946,0.08851998429770827
