season,week,actual_eliminated,actual_count,predicted_eliminated_rank,predicted_partner_rank,correct_rank,exact_match_rank,predicted_eliminated_percent,predicted_partner_percent,correct_percent,exact_match_percent
10,7,Pamela Anderson,1,Niecy Nash,Louis van Amstel,0.0,0,Pamela Anderson,Damian Whitewood,1.0,1
10,8,Niecy Nash,1,Niecy Nash,Louis van Amstel,1.0,1,Niecy Nash,Louis van Amstel,1.0,1
10,9,Chad Ochocinco,1,Chad Ochocinco,Cheryl Burke,1.0,1,Chad Ochocinco,Cheryl Burke,1.0,1
11,1,David Hasselhoff,1,David Hasselhoff,Kym Johnson,1.0,1,David Hasselhoff,Kym Johnson,1.0,1
11,2,Michael Bolton,1,Michael Bolton,Chelsie Hightower,1.0,1,Michael Bolton,Chelsie Hightower,1.0,1
11,3,Margaret Cho,1,Bristol Palin,Mark Ballas,0.0,0,Margaret Cho,Louis van Amstel,1.0,1
11,4,The Situation,1,The Situation,Karina Smirnoff,1.0,1,The Situation,Karina Smirnoff,1.0,1
11,5,Florence Henderson,1,Kyle Massey,Lacey Schwimmer,0.0,0,Florence Henderson,Corky Ballas,1.0,1
11,6,Audrina Patridge,1,Kurt Warner,Anna Trebunskaya,0.0,0,Audrina Patridge,Tony Dovolani,1.0,1
11,7,Rick Fox,1,Bristol Palin,Mark Ballas,0.0,0,Rick Fox,Cheryl Burke,1.0,1
11,8,Kurt Warner,1,Bristol Palin,Mark Ballas,0.0,0,Kurt Warner,Anna Trebunskaya,1.0,1
11,9,Brandy,1,Bristol Palin,Mark Ballas,0.0,0,Brandy,Maksim Chmerkoskiy,1.0,1
12,2,Mike Catherwood,1,Mike Catherwood,Lacey Schwimmer,1.0,1,Mike Catherwood,Lacey Schwimmer,1.0,1
12,3,Wendy Williams,1,Wendy Williams,Tony Dovolani,1.0,1,Wendy Williams,Tony Dovolani,1.0,1
12,4,Sugar Ray Leonard,1,Kendra Wilkinson,Louis van Amstel,0.0,0,Sugar Ray Leonard,Anna Trebunskaya,1.0,1
12,5,Petra Nemcova,1,Ralph Macchio,Karina Smirnoff,0.0,0,Petra Nemcova,Dmitry Chaplin,1.0,1
12,6,Chris Jericho,1,Chris Jericho,Cheryl Burke,1.0,1,Chris Jericho,Cheryl Burke,1.0,1
12,7,Kendra Wilkinson,1,Romeo,Chelsie Hightower,0.0,0,Kendra Wilkinson,Louis van Amstel,1.0,1
12,8,Romeo,1,Ralph Macchio,Karina Smirnoff,0.0,0,Romeo,Chelsie Hightower,1.0,1
12,9,Ralph Macchio,1,Ralph Macchio,Karina Smirnoff,1.0,1,Ralph Macchio,Karina Smirnoff,1.0,1
13,1,Metta World Peace (Ron),1,Metta World Peace (Ron),Peta Murgatroyd,1.0,1,Metta World Peace (Ron),Peta Murgatroyd,1.0,1
13,2,Elisabetta Canalis,1,Chaz Bono,Lacey Schwimmer,0.0,0,Elisabetta Canalis,Valentin Chmerkovskiy,1.0,1
13,3,Kristin Cavallari,1,Chaz Bono,Lacey Schwimmer,0.0,0,Kristin Cavallari,Mark Ballas,1.0,1
13,4,Chynna Phillips,1,Carson Kressley,Anna Trebunskaya,0.0,0,Chynna Phillips,Tony Dovolani,1.0,1
13,5,Carson Kressley,1,Carson Kressley,Anna Trebunskaya,1.0,1,Carson Kressley,Anna Trebunskaya,1.0,1
13,6,Chaz Bono,1,Chaz Bono,Lacey Schwimmer,1.0,1,Chaz Bono,Lacey Schwimmer,1.0,1
13,7,David Arquette,1,Nancy Grace,Tristan MacManus,0.0,0,David Arquette,Kym Johnson,1.0,1
13,8,Nancy Grace,1,Nancy Grace,Tristan MacManus,1.0,1,Nancy Grace,Tristan MacManus,1.0,1
13,9,Hope Solo,1,Hope Solo,Maksim Chmerkoskiy,1.0,1,Hope Solo,Maksim Chmerkoskiy,1.0,1
14,2,Martina Navratilova,1,Martina Navratilova,Tony Dovolani,1.0,1,Martina Navratilova,Tony Dovolani,1.0,1
14,3,Jack Wagner,1,Gladys Knight,Tristan MacManus,0.0,0,Jack Wagner,Anna Trebunskaya,1.0,1
14,4,Sherri Sheperd,1,Gladys Knight,Tristan MacManus,0.0,0,Sherri Sheperd,Valentin Chmerkovskiy,1.0,1
14,5,Gavin DeGraw,1,Gavin DeGraw,Karina Smirnoff,1.0,1,Gavin DeGraw,Karina Smirnoff,1.0,1
14,6,Gladys Knight,1,Gladys Knight,Tristan MacManus,1.0,1,Gladys Knight,Tristan MacManus,1.0,1
14,7,Jaleel White,1,Jaleel White,Kym Johnson,1.0,1,Jaleel White,Kym Johnson,1.0,1
14,8,"Roshon Fegan, Melissa Gilbert",2,"Melissa Gilbert, Maria Menounos","Maksim Chmerkoskiy, Derek Hough",0.5,0,"Melissa Gilbert, Roshon Fegan","Maksim Chmerkoskiy, Chelsie Hightower",1.0,1
14,9,Maria Menounos,1,Katherine Jenkins,Mark Ballas,0.0,0,Maria Menounos,Derek Hough,1.0,1
15,1,Pamela Anderson,1,Pamela Anderson,Tristan MacManus,1.0,1,Pamela Anderson,Tristan MacManus,1.0,1
15,2,Joey Fatone,1,Bristol Palin,Mark Ballas,0.0,0,Joey Fatone,Kym Johnson,1.0,1
15,3,"Drew Lachey, Helio Castroneves",2,"Bristol Palin, Drew Lachey","Mark Ballas, Anna Trebunskaya",0.5,0,"Drew Lachey, Helio Castroneves","Anna Trebunskaya, Chelsie Hightower",1.0,1
15,4,Bristol Palin,1,Kirstie Alley,Maksim Chmerkoskiy,0.0,0,Bristol Palin,Mark Ballas,1.0,1
15,6,Sabrina Bryan,1,Emmitt Smith,Cheryl Burke,0.0,0,Sabrina Bryan,Louis van Amstel,1.0,1
15,8,"Kirstie Alley, Gilles Marini",2,"Kirstie Alley, Shawn Johnson","Maksim Chmerkoskiy, Derek Hough",0.5,0,"Kirstie Alley, Gilles Marini","Maksim Chmerkoskiy, Peta Murgatroyd",1.0,1
15,9,"Emmitt Smith, Apolo Anton Ohno",2,"Emmitt Smith, Melissa Rycroft","Cheryl Burke, Tony Dovolani",0.5,0,"Emmitt Smith, Apolo Anton Ohno","Cheryl Burke, Karina Smirnoff",1.0,1
16,2,Dorothy Hamill,1,Dorothy Hamill,Tristan MacManus,1.0,1,Dorothy Hamill,Tristan MacManus,1.0,1
16,3,Wynonna Judd,1,Wynonna Judd,Tony Dovolani,1.0,1,Wynonna Judd,Tony Dovolani,1.0,1
16,4,Lisa Vanderpump,1,Lisa Vanderpump,Gleb Savchenko,1.0,1,Lisa Vanderpump,Gleb Savchenko,1.0,1
16,5,D. L. Hughley,1,D. L. Hughley,Cheryl Burke,1.0,1,D. L. Hughley,Cheryl Burke,1.0,1
16,6,Victor Ortiz,1,Victor Ortiz,Lindsay Arnold,1.0,1,Victor Ortiz,Lindsay Arnold,1.0,1
16,7,Andy Dick,1,Andy Dick,Sharna Burgess,1.0,1,Andy Dick,Sharna Burgess,1.0,1
16,8,Sean Lowe,1,Sean Lowe,Peta Murgatroyd,1.0,1,Sean Lowe,Peta Murgatroyd,1.0,1
16,9,Ingo Rademacher,1,Ingo Rademacher,Kym Johnson,1.0,1,Ingo Rademacher,Kym Johnson,1.0,1
16,10,Alexandra Raisman,1,Jacoby Jones,Karina Smirnoff,0.0,0,Alexandra Raisman,Mark Ballas,1.0,1
17,2,Keyshawn Johnson,1,Bill Nye,Tyne Stecklein,0.0,0,Keyshawn Johnson,Sharna Burgess,1.0,1
17,3,Bill Nye,1,Valerie Harper,Tristan MacManus,0.0,0,Bill Nye,Tyne Stecklein,1.0,1
17,4,Valerie Harper,1,Valerie Harper,Tristan MacManus,1.0,1,Valerie Harper,Tristan MacManus,1.0,1
17,5,Christina Milian,1,Leah Remini,Tony Dovolani,0.0,0,Christina Milian,Mark Ballas,1.0,1
17,7,"Nicole ""Snooki"" Polizzi",1,Leah Remini,Tony Dovolani,0.0,0,"Nicole ""Snooki"" Polizzi",Sasha Farber,1.0,1
17,8,Brant Daugherty,1,Elizabeth Berkley Lauren,Valentin Chmerkovskiy,0.0,0,Brant Daugherty,Peta Murgatroyd,1.0,1
17,9,Elizabeth Berkley Lauren,1,Amber Riley,Derek Hough,0.0,0,Bill Engvall,Emma Slater,0.0,0
17,10,Leah Remini,1,Bill Engvall,Emma Slater,0.0,0,Leah Remini,Tony Dovolani,1.0,1
17,11,Bill Engvall,1,Bill Engvall,Emma Slater,1.0,1,Bill Engvall,Emma Slater,1.0,1
18,2,"Sean Avery, Billy Dee Williams",2,"Billy Dee Williams, Drew Carey","Emma Slater, Cheryl Burke",0.5,0,"Billy Dee Williams, Sean Avery","Emma Slater, Karina Smirnoff",1.0,1
18,5,Cody Simpson,1,Drew Carey,Cheryl Burke,0.0,0,Cody Simpson,Witney Carson,1.0,1
18,6,Drew Carey,1,Drew Carey,Cheryl Burke,1.0,1,Drew Carey,Cheryl Burke,1.0,1
18,7,NeNe Leakes,1,NeNe Leakes,Tony Dovolani,1.0,1,NeNe Leakes,Tony Dovolani,1.0,1
18,8,Danica McKellar,1,Meryl Davis,Maksim Chmerkoskiy,0.0,0,Danica McKellar,Valentin Chmerkovskiy,1.0,1
18,9,Charlie White,1,Candace Cameron Bure,Mark Ballas,0.0,0,Charlie White,Sharna Burgess,1.0,1
18,10,James Maslow,1,Candace Cameron Bure,Mark Ballas,0.0,0,James Maslow,Peta Murgatroyd,1.0,1
19,1,Lolo Jones,1,Betsey Johnson,Tony Dovolani,0.0,0,Lolo Jones,Keo Motsepe,1.0,1
19,2,Tavis Smiley,1,Michael Waltrip,Emma Slater,0.0,0,Tavis Smiley,Sharna Burgess,1.0,1
19,3,Randy Couture,1,Randy Couture,Karina Smirnoff,1.0,1,Randy Couture,Karina Smirnoff,1.0,1
19,4,Betsey Johnson,1,Michael Waltrip,Emma Slater,0.0,0,Betsey Johnson,Tony Dovolani,1.0,1
19,6,Jonathan Bennett,1,Antonio Sabato Jr.,Cheryl Burke,0.0,0,Jonathan Bennett,Allison Holker,1.0,1
19,7,Antonio Sabato Jr.,1,Antonio Sabato Jr.,Cheryl Burke,1.0,1,Antonio Sabato Jr.,Cheryl Burke,1.0,1
19,8,Michael Waltrip,1,Michael Waltrip,Emma Slater,1.0,1,Michael Waltrip,Emma Slater,1.0,1
19,9,Lea Thompson,1,Tommy Chong,Peta Murgatroyd,0.0,0,Lea Thompson,Artem Chigvintsev,1.0,1
19,10,Tommy Chong,1,Tommy Chong,Peta Murgatroyd,1.0,1,Tommy Chong,Peta Murgatroyd,1.0,1
19,11,Bethany Mota,1,Bethany Mota,Derek Hough,1.0,1,Bethany Mota,Derek Hough,1.0,1
20,2,Redfoo,1,Chris Soules,Witney Carson,0.0,0,Redfoo,Emma Slater,1.0,1
20,3,Charlotte McKinney,1,Patti LaBelle,Artem Chigvintsev,0.0,0,Charlotte McKinney,Keo Motsepe,1.0,1
20,4,Michael Sam,1,Suzanne Somers,Tony Dovolani,0.0,0,Michael Sam,Peta Murgatroyd,1.0,1
20,5,Suzanne Somers,1,Patti LaBelle,Artem Chigvintsev,0.0,0,Suzanne Somers,Tony Dovolani,1.0,1
20,6,Patti LaBelle,1,Robert Herjavec,Kym Johnson,0.0,0,Patti LaBelle,Artem Chigvintsev,1.0,1
20,7,Willow Shields,1,Chris Soules,Witney Carson,0.0,0,Willow Shields,Mark Ballas,1.0,1
20,8,"Robert Herjavec, Chris Soules",2,"Noah Galloway, Robert Herjavec","Sharna Burgess, Kym Johnson",0.5,0,"Robert Herjavec, Chris Soules","Kym Johnson, Witney Carson",1.0,1
20,9,Nastia Liukin,1,Rumer Willis,Valentin Chmerkovskiy,0.0,0,Nastia Liukin,Derek Hough,1.0,1
21,2,"Kim Zolciak-Biermann, Victor Espinoza, Chaka Khan",3,"Chaka Khan, Gary Busey, Victor Espinoza","Keo Motsepe, Anna Trebunskaya, Karina Smirnoff",0.6666666666666666,0,"Chaka Khan, Kim Zolciak-Biermann, Victor Espinoza","Keo Motsepe, Tony Dovolani, Karina Smirnoff",1.0,1
21,4,Gary Busey,1,Gary Busey,Anna Trebunskaya,1.0,1,Gary Busey,Anna Trebunskaya,1.0,1
21,6,Paula Deen,1,Paula Deen,Louis van Amstel,1.0,1,Paula Deen,Louis van Amstel,1.0,1
21,7,Hayes Grier,1,Alek Skarlatos,Lindsay Arnold,0.0,0,Hayes Grier,Emma Slater,1.0,1
21,8,Andy Grammer,1,Alek Skarlatos,Lindsay Arnold,0.0,0,Andy Grammer,Allison Holker,1.0,1
21,9,"Tamar Braxton, Alexa PenaVega",2,"Tamar Braxton, Carlos PenaVega","Valentin Chmerkovskiy, Witney Carson",0.5,0,"Tamar Braxton, Alexa PenaVega","Valentin Chmerkovskiy, Mark Ballas",1.0,1
21,11,Carlos PenaVega,1,Alek Skarlatos,Lindsay Arnold,0.0,0,Carlos PenaVega,Witney Carson,1.0,1
22,2,Geraldo Rivera,1,Geraldo Rivera,Edyta Sliwinska,1.0,1,Geraldo Rivera,Edyta Sliwinska,1.0,1
22,3,Mischa Barton,1,Mischa Barton,Artem Chigvintsev,1.0,1,Mischa Barton,Artem Chigvintsev,1.0,1
22,4,Marla Maples,1,Doug Flutie,Karina Smirnoff,0.0,0,Marla Maples,Tony Dovolani,1.0,1
22,6,Doug Flutie,1,Doug Flutie,Karina Smirnoff,1.0,1,Doug Flutie,Karina Smirnoff,1.0,1
22,7,"Kim Fields, Von Miller",2,"Jodie Sweetin, Antonio Brown","Keo Motsepe, Sharna Burgess",0.0,0,"Kim Fields, Von Miller","Sasha Farber, Witney Carson",1.0,1
22,8,Jodie Sweetin,1,Wanya Morris,Lindsay Arnold,0.0,0,Wanya Morris,Lindsay Arnold,0.0,0
22,9,"Wanya Morris, Antonio Brown",2,"Antonio Brown, Nyle DiMarco","Sharna Burgess, Peta Murgatroyd",0.5,0,"Antonio Brown, Nyle DiMarco","Sharna Burgess, Peta Murgatroyd",0.5,0
23,2,Jake T. Austin,1,Rick Perry,Emma Slater,0.0,0,Jake T. Austin,Jenna Johnson,1.0,1
23,3,Rick Perry,1,Vanilla Ice,Witney Carson,0.0,0,Rick Perry,Emma Slater,1.0,1
23,4,"Babyface, Vanilla Ice",2,"Babyface, Ryan Lochte","Allison Holker, Cheryl Burke",0.5,0,"Babyface, Vanilla Ice","Allison Holker, Witney Carson",1.0,1
23,6,Amber Rose,1,Terra Jole,Sasha Farber,0.0,0,Amber Rose,Maksim Chmerkoskiy,1.0,1
23,7,Maureen McCormick,1,Marilu Henner,Derek Hough,0.0,0,Maureen McCormick,Artem Chigvintsev,1.0,1
23,8,Ryan Lochte,1,Marilu Henner,Derek Hough,0.0,0,Ryan Lochte,Cheryl Burke,1.0,1
23,9,Marilu Henner,1,James Hinchcliffe,Sharna Burgess,0.0,0,Marilu Henner,Derek Hough,1.0,1
23,10,Terra Jole,1,Jana Kramer,Gleb Savchenko,0.0,0,Terra Jole,Sasha Farber,1.0,1
23,11,Jana Kramer,1,Jana Kramer,Gleb Savchenko,1.0,1,Jana Kramer,Gleb Savchenko,1.0,1
24,2,Chris Kattan,1,Mr. T,Kym Herjavec,0.0,0,Chris Kattan,Witney Carson,1.0,1
24,3,Charo,1,Charo,Keo Motsepe,1.0,1,Charo,Keo Motsepe,1.0,1
24,4,Mr. T,1,Mr. T,Kym Herjavec,1.0,1,Mr. T,Kym Herjavec,1.0,1
24,5,Erika Jayne,1,Bonner Bolton,Sharna Burgess,0.0,0,Erika Jayne,Gleb Savchenko,1.0,1
24,6,Heather Morris,1,Nick Viall,Peta Murgatroyd,0.0,0,Nick Viall,Peta Murgatroyd,0.0,0
24,7,"Nancy Kerrigan, Nick Viall",2,"Bonner Bolton, David Ross","Sharna Burgess, Lindsay Arnold",0.0,0,"Nick Viall, Nancy Kerrigan","Peta Murgatroyd, Artem Chigvintsev",1.0,1
24,8,Bonner Bolton,1,Bonner Bolton,Sharna Burgess,1.0,1,Bonner Bolton,Sharna Burgess,1.0,1
24,9,Simone Biles,1,Normani,Valentin Chmerkovskiy,0.0,0,Simone Biles,Sasha Farber,1.0,1
25,2,"Barbara Corcoran, Debbie Gibson",2,"Barbara Corcoran, Derek Fisher","Keo Motsepe, Sharna Burgess",0.5,0,"Barbara Corcoran, Debbie Gibson","Keo Motsepe, Alan Bersten",1.0,1
25,4,Derek Fisher,1,Nick Lachey,Peta Murgatroyd,0.0,0,Derek Fisher,Sharna Burgess,1.0,1
25,5,Sasha Pieterse,1,Nick Lachey,Peta Murgatroyd,0.0,0,Sasha Pieterse,Gleb Savchenko,1.0,1
25,6,Nick Lachey,1,Nick Lachey,Peta Murgatroyd,1.0,1,Nick Lachey,Peta Murgatroyd,1.0,1
25,7,"Vanessa Lachey, Nikki Bella",2,"Terrell Owens, Nikki Bella","Cheryl Burke, Artem Chigvintsev",0.5,0,"Nikki Bella, Vanessa Lachey","Artem Chigvintsev, Maksim Chmerkoskiy",1.0,1
25,8,Terrell Owens,1,Drew Scott,Emma Slater,0.0,0,Terrell Owens,Cheryl Burke,1.0,1
25,9,Victoria Arlen,1,Drew Scott,Emma Slater,0.0,0,Victoria Arlen,Valentin Chmerkovskiy,1.0,1
25,10,Drew Scott,1,Drew Scott,Emma Slater,1.0,1,Drew Scott,Emma Slater,1.0,1
26,1,"Jamie Anderson, Johnny Damon",2,"Johnny Damon, Kareem Abdul-Jabbar","Emma Slater, Lindsay Arnold",0.5,0,"Johnny Damon, Jamie Anderson","Emma Slater, Artem Chigvintsev",1.0,1
