season,method,fbi1,fbi2,fbi3,sample_count,composite_fbi
24,percent,0.42045454545454547,-2.51680247718146,0.8181818181818182,66,-1.2206580879820337
25,percent,0.29782608695652174,-2.3755859153033385,0.8787878787878788,66,-1.1605069855667736
26,percent,0.28888888888888886,-4.102390960643795,0.625,24,-2.206368901605855
27,percent,0.3716931216931217,-4.793103109100534,0.9710144927536232,69,-2.5301522304176802
28,percent,0.238125,-3.124756620253968,0.6842105263157895,57,-1.6422917186927506
29,percent,0.29912963811268894,-2.7750151871810798,1.0833333333333333,96,-1.359041078292655
30,percent,0.26300743281875355,-2.451620445131362,0.9883720930232558,86,-1.1959334613100026
31,percent,0.19813119755911518,-2.880879287074343,0.7184466019417476,103,-1.5054837517251392
32,percent,0.27675460428073667,-3.3126867049831046,0.6777777777777778,90,-1.7424786232197977
33,percent,0.36896551724137927,-3.260418405216904,0.9074074074074074,54,-1.6512642612177362
34,percent,0.24756944444444445,-2.761020036769406,0.922077922077922,77,-1.390256694632008
