season,week,celebrity_name,ballroom_partner,method,conflict_degree,conflict_type,judge_rank,fan_rank,judge_percent,fan_percent,final_rank,final_percent
2,1,Stacy Keibler,Tony Dovolani,rank,0.0,B,4,4,0.1128205128205128,0.1284197121194416,4.0,0.6666666666666667
2,1,Tatum O'Neal,Nick Kosovich,rank,0.0,B,2,2,0.1179487179487179,0.1361647216763349,2.0,0.7777777777777778
2,1,Tia Carrere,Maksim Chmerkoskiy,rank,0.16666666666666666,A,6,5,0.1025641025641025,0.1143870669222893,5.0,0.5555555555555556
2,2,Drew Lachey,Cheryl Burke,rank,0.0,B,2,2,0.135,0.161797094151792,2.0,0.875
2,2,George Hamilton,Edyta Sliwinska,rank,0.2857142857142857,B,5,7,0.11,0.1115872869975924,6.0,0.375
2,2,Giselle Fernandez,Jonathan Roberts,rank,0.0,B,3,3,0.12,0.1360690758302553,3.0,0.75
2,2,Jerry Rice,Anna Trebunskaya,rank,0.2,B,4,5,0.115,0.1207608700636809,4.0,0.5
2,2,Lisa Rinna,Louis van Amstel,rank,0.14285714285714285,A,7,6,0.1,0.0893343060154296,7.0,0.25
2,2,Master P,Ashly DelGrosso,rank,0.1111111111111111,A,9,8,0.08,0.0857516627109658,8.0,0.125
2,2,Stacy Keibler,Tony Dovolani,rank,0.0,B,1,1,0.145,0.1652209727112096,1.0,1.0
2,2,Tatum O'Neal,Nick Kosovich,rank,0.1111111111111111,B,8,9,0.085,0.0,8.0,0.0
2,2,Tia Carrere,Maksim Chmerkoskiy,rank,0.2,A,5,4,0.11,0.1294787315190742,4.0,0.625
2,3,Drew Lachey,Cheryl Burke,rank,0.0,B,1,1,0.1483516483516483,0.2439527070366561,1.0,1.0
2,3,George Hamilton,Edyta Sliwinska,rank,0.0,B,5,5,0.1208791208791208,0.0531250785787371,5.0,0.2857142857142857
2,3,Giselle Fernandez,Jonathan Roberts,rank,0.375,B,5,8,0.1208791208791208,0.1265480370809921,6.0,0.4285714285714286
2,3,Jerry Rice,Anna Trebunskaya,rank,0.14285714285714285,A,7,6,0.1043956043956044,0.0,6.0,0.1428571428571429
2,3,Lisa Rinna,Louis van Amstel,rank,0.0,B,4,4,0.1373626373626373,0.1587215315007588,4.0,0.5714285714285714
2,3,Master P,Ashly DelGrosso,rank,0.125,A,8,7,0.0769230769230769,0.0051238202560255,8.0,0.0
2,3,Stacy Keibler,Tony Dovolani,rank,0.5,B,1,2,0.1483516483516483,0.2263464806944449,2.0,0.8571428571428572
2,3,Tia Carrere,Maksim Chmerkoskiy,rank,0.0,B,3,3,0.1428571428571428,0.1861823448523853,3.0,0.7142857142857143
2,4,Drew Lachey,Cheryl Burke,rank,0.0,B,1,1,0.1772151898734177,0.2540600212995829,1.0,1.0
2,4,George Hamilton,Edyta Sliwinska,rank,0.0,B,6,6,0.1329113924050632,0.0321119841277919,6.0,0.16666666666666663
2,4,Jerry Rice,Anna Trebunskaya,rank,0.0,B,5,5,0.1518987341772152,0.124752445113195,5.0,0.33333333333333337
2,4,Lisa Rinna,Louis van Amstel,rank,0.0,B,2,2,0.1645569620253164,0.2011037685948359,2.0,0.6666666666666667
2,4,Master P,Ashly DelGrosso,rank,0.0,B,7,7,0.050632911392405,0.0,7.0,0.0
2,4,Stacy Keibler,Tony Dovolani,rank,0.3333333333333333,B,2,3,0.1645569620253164,0.2161410720945062,3.0,0.8333333333333334
2,4,Tia Carrere,Maksim Chmerkoskiy,rank,0.0,B,4,4,0.1582278481012658,0.171830708770088,4.0,0.5
2,5,Drew Lachey,Cheryl Burke,rank,0.0,B,2,2,0.1788079470198675,0.2836891690182596,2.0,0.8
2,5,George Hamilton,Edyta Sliwinska,rank,0.0,B,4,4,0.1589403973509933,0.1802874847887889,4.0,0.4
2,5,Jerry Rice,Anna Trebunskaya,rank,0.0,B,5,5,0.152317880794702,0.0,5.0,0.0
2,5,Lisa Rinna,Louis van Amstel,rank,0.0,B,3,3,0.1655629139072847,0.208288895594861,3.0,0.6
2,5,Stacy Keibler,Tony Dovolani,rank,0.0,B,1,1,0.1986754966887417,0.2992892756220027,1.0,1.0
2,5,Tia Carrere,Maksim Chmerkoskiy,rank,0.0,B,6,6,0.1456953642384106,0.0284451749760877,6.0,0.19999999999999996
2,6,Drew Lachey,Cheryl Burke,rank,0.0,B,1,1,0.225563909774436,0.3979873330785279,1.0,1.0
2,6,George Hamilton,Edyta Sliwinska,rank,0.2,B,4,5,0.1729323308270676,0.0,5.0,0.0
2,6,Jerry Rice,Anna Trebunskaya,rank,0.0,B,4,4,0.1729323308270676,0.0921046134577009,4.0,0.25
2,6,Lisa Rinna,Louis van Amstel,rank,0.0,B,3,3,0.2030075187969924,0.1351726128803801,3.0,0.5
2,6,Stacy Keibler,Tony Dovolani,rank,0.5,B,1,2,0.225563909774436,0.374735440583391,2.0,0.75
2,7,Drew Lachey,Cheryl Burke,rank,0.0,B,1,1,0.2696078431372549,0.4789230301873172,1.0,1.0
2,7,Jerry Rice,Anna Trebunskaya,rank,0.25,A,4,3,0.2009803921568627,0.0,3.0,0.0
2,7,Lisa Rinna,Louis van Amstel,rank,0.25,B,3,4,0.2598039215686274,0.0698238607319118,3.0,0.33333333333333337
2,7,Stacy Keibler,Tony Dovolani,rank,0.5,B,1,2,0.2696078431372549,0.451253109080771,2.0,0.6666666666666667
3,1,Emmitt Smith,Cheryl Burke,rank,0.0,B,2,2,0.1132075471698113,0.1250837046990819,2.0,0.9
3,1,Harry Hamlin,Ashly DelGrosso,rank,0.125,A,8,7,0.080188679245283,0.086156248172721,7.0,0.30000000000000004
3,1,Jerry Springer,Kym Johnson,rank,0.1,B,9,10,0.0754716981132075,0.0542639486060775,9.0,0.09999999999999998
3,1,Joey Lawrence,Edyta Sliwinska,rank,0.0,B,5,5,0.0990566037735849,0.1054094194360682,5.0,0.6
3,1,Mario Lopez,Karina Smirnoff,rank,0.0,B,1,1,0.1226415094339622,0.1274600396099652,1.0,1.0
3,1,Monique Coleman,Louis van Amstel,rank,0.0,B,6,6,0.0896226415094339,0.1027059753951543,6.0,0.5
3,1,Sara Evans,Tony Dovolani,rank,0.1,A,10,9,0.070754716981132,0.0859931524144896,9.0,0.19999999999999996
3,1,Shanna Moakler,Jesse DeSoto,rank,0.125,B,7,8,0.0849056603773584,0.0820341715803147,7.0,0.4
3,1,Tucker Carlson,Elena Grinenko,rank,0.0,B,11,11,0.0566037735849056,0.0,11.0,0.0
3,1,Vivica A. Fox,Nick Kosovich,rank,0.25,B,3,4,0.1037735849056603,0.1107027206956102,4.0,0.7
3,1,Willa Ford,Maksim Chmerkoskiy,rank,0.0,B,3,3,0.1037735849056603,0.1201906193905171,3.0,0.8
3,2,Emmitt Smith,Cheryl Burke,rank,0.25,B,3,4,0.1043478260869565,0.1385892599619257,4.0,0.7777777777777778
3,2,Harry Hamlin,Ashly DelGrosso,rank,0.14285714285714285,A,7,6,0.0913043478260869,0.0872674441963161,6.0,0.2222222222222222
3,2,Jerry Springer,Kym Johnson,rank,0.0,B,10,10,0.0826086956521739,0.0395003048021311,10.0,0.11111111111111116
3,2,Joey Lawrence,Edyta Sliwinska,rank,0.0,B,1,1,0.1260869565217391,0.1482337414381202,1.0,1.0
3,2,Mario Lopez,Karina Smirnoff,rank,0.2222222222222222,B,7,9,0.0913043478260869,0.1077294911112113,9.0,0.4444444444444444
3,2,Monique Coleman,Louis van Amstel,rank,0.0,B,2,2,0.1130434782608695,0.1399057143322589,2.0,0.8888888888888888
3,2,Sara Evans,Tony Dovolani,rank,0.0,B,7,7,0.0913043478260869,0.0962643803677272,7.0,0.33333333333333337
3,2,Shanna Moakler,Jesse DeSoto,rank,0.25,B,6,8,0.0956521739130434,0.0,7.0,0.0
3,2,Vivica A. Fox,Nick Kosovich,rank,0.0,B,3,3,0.1043478260869565,0.1257336138881708,3.0,0.6666666666666667
3,2,Willa Ford,Maksim Chmerkoskiy,rank,0.0,B,5,5,0.1,0.1167760499021385,5.0,0.5555555555555556
3,3,Emmitt Smith,Cheryl Burke,rank,0.0,B,9,9,0.0917874396135265,0.0711528733746752,9.0,0.125
3,3,Harry Hamlin,Ashly DelGrosso,rank,0.25,A,4,3,0.1062801932367149,0.0,3.0,0.0
3,3,Jerry Springer,Kym Johnson,rank,0.0,B,8,8,0.1014492753623188,0.0967350901365491,8.0,0.25
3,3,Joey Lawrence,Edyta Sliwinska,rank,0.42857142857142855,B,4,7,0.1062801932367149,0.1280958988079178,7.0,0.625
3,3,Mario Lopez,Karina Smirnoff,rank,0.2,B,4,5,0.1062801932367149,0.1269649857372851,5.0,0.5
3,3,Monique Coleman,Louis van Amstel,rank,0.5,B,1,2,0.1304347826086956,0.1654959679817271,2.0,1.0
3,3,Sara Evans,Tony Dovolani,rank,0.25,B,3,4,0.1207729468599033,0.1439534036964588,3.0,0.75
3,3,Vivica A. Fox,Nick Kosovich,rank,0.0,B,1,1,0.1304347826086956,0.1568893143541384,1.0,0.875
3,3,Willa Ford,Maksim Chmerkoskiy,rank,0.3333333333333333,B,4,6,0.1062801932367149,0.1107124659112481,6.0,0.375
3,4,Emmitt Smith,Cheryl Burke,rank,0.0,B,4,4,0.1212121212121212,0.167829366032199,4.0,0.5714285714285714
3,4,Jerry Springer,Kym Johnson,rank,0.0,B,7,7,0.1111111111111111,0.0441391535847248,7.0,0.2857142857142857
3,4,Joey Lawrence,Edyta Sliwinska,rank,0.0,B,3,3,0.1363636363636363,0.170975851411585,3.0,0.7142857142857143
3,4,Mario Lopez,Karina Smirnoff,rank,0.0,B,1,1,0.1464646464646464,0.2238266818515767,1.0,1.0
3,4,Monique Coleman,Louis van Amstel,rank,0.2,B,4,5,0.1212121212121212,0.1502930123319224,5.0,0.4285714285714286
3,4,Sara Evans,Tony Dovolani,rank,0.0,B,8,8,0.101010101010101,0.0261486870897848,8.0,0.1428571428571429
3,4,Vivica A. Fox,Nick Kosovich,rank,0.3333333333333333,B,4,6,0.1212121212121212,0.0,6.0,0.0
3,4,Willa Ford,Maksim Chmerkoskiy,rank,0.0,B,2,2,0.1414141414141414,0.216787247698207,2.0,0.8571428571428572
3,5,Emmitt Smith,Cheryl Burke,rank,0.5,B,1,2,0.149171270718232,0.2394283828552749,2.0,1.0
3,5,Jerry Springer,Kym Johnson,rank,0.16666666666666666,A,6,5,0.1325966850828729,0.0804065420560309,5.0,0.16666666666666663
3,5,Joey Lawrence,Edyta Sliwinska,rank,0.16666666666666666,B,5,6,0.1381215469613259,0.151695544030055,5.0,0.5
3,5,Mario Lopez,Karina Smirnoff,rank,0.75,B,1,4,0.149171270718232,0.2217983480749998,4.0,0.6666666666666667
3,5,Monique Coleman,Louis van Amstel,rank,0.6666666666666666,B,1,3,0.149171270718232,0.2252443370980525,3.0,0.8333333333333334
3,5,Sara Evans,Tony Dovolani,rank,0.14285714285714285,B,6,7,0.1325966850828729,0.0,7.0,0.0
3,5,Willa Ford,Maksim Chmerkoskiy,rank,0.0,B,1,1,0.149171270718232,0.0814268458855868,1.0,0.33333333333333337
3,7,Emmitt Smith,Cheryl Burke,rank,0.5,B,1,2,0.2111111111111111,0.3204709061719565,2.0,1.0
3,7,Jerry Springer,Kym Johnson,rank,0.0,B,5,5,0.1703703703703703,0.0,5.0,0.0
3,7,Joey Lawrence,Edyta Sliwinska,rank,0.0,B,1,1,0.2111111111111111,0.308045368904809,1.0,0.75
3,7,Mario Lopez,Karina Smirnoff,rank,0.0,B,3,3,0.2074074074074074,0.1994754066278102,3.0,0.5
3,7,Monique Coleman,Louis van Amstel,rank,0.0,B,4,4,0.2,0.1720083182954243,4.0,0.25
3,8,Emmitt Smith,Cheryl Burke,rank,0.0,B,2,2,0.2477064220183486,0.3238313023048677,2.0,0.6666666666666667
3,8,Joey Lawrence,Edyta Sliwinska,rank,0.5,B,2,4,0.2477064220183486,0.3055921755505539,3.0,0.33333333333333337
3,8,Mario Lopez,Karina Smirnoff,rank,0.0,B,1,1,0.2614678899082568,0.3705765221445783,1.0,1.0
3,8,Monique Coleman,Louis van Amstel,rank,0.25,A,4,3,0.2431192660550458,0.0,4.0,0.0
4,2,Apolo Anton Ohno,Julianne Hough,rank,0.5,A,2,1,0.1061224489795918,0.1391704787977163,1.0,0.9
4,2,Billy Ray Cyrus,Karina Smirnoff,rank,0.0,B,6,6,0.0857142857142857,0.1030437512950942,6.0,0.5
4,2,Clyde Drexler,Elena Grinenko,rank,0.0,B,11,11,0.073469387755102,0.0471175450437015,11.0,0.09999999999999998
4,2,Heather Mills,Jonathan Roberts,rank,0.0,B,3,3,0.0979591836734693,0.1210658452185304,3.0,0.7
4,2,Ian Ziering,Cheryl Burke,rank,0.0,B,5,5,0.0897959183673469,0.1154880580700022,5.0,0.6
4,2,Joey Fatone,Kym Johnson,rank,0.25,B,3,4,0.0979591836734693,0.1286759403847471,4.0,0.8
4,2,John Ratzenberger,Edyta Sliwinska,rank,0.14285714285714285,B,6,7,0.0857142857142857,0.0687009275151777,7.0,0.30000000000000004
4,2,Laila Ali,Maksim Chmerkoskiy,rank,0.5,B,1,2,0.110204081632653,0.1437387754654373,1.0,1.0
4,2,Leeza Gibbons,Tony Dovolani,rank,0.25,B,6,8,0.0857142857142857,0.0745418662718066,8.0,0.4
4,2,Paulina Porizkova,Alec Mazo,rank,0.3333333333333333,B,6,9,0.0857142857142857,0.0,9.0,0.0
4,2,Shandi Finnessey,Brian Fortuna,rank,0.0,B,10,10,0.0816326530612244,0.0584568119377863,10.0,0.19999999999999996
4,3,Apolo Anton Ohno,Julianne Hough,rank,0.0,B,5,5,0.1055045871559633,0.1171389500110779,5.0,0.5555555555555556
4,3,Billy Ray Cyrus,Karina Smirnoff,rank,0.0,B,6,6,0.0963302752293578,0.0893247430404426,6.0,0.33333333333333337
4,3,Clyde Drexler,Elena Grinenko,rank,0.0,B,10,10,0.073394495412844,0.0689271760719772,10.0,0.11111111111111116
4,3,Heather Mills,Jonathan Roberts,rank,0.6666666666666666,B,1,3,0.110091743119266,0.1330459202109123,3.0,0.6666666666666667
4,3,Ian Ziering,Cheryl Burke,rank,0.5,B,1,2,0.110091743119266,0.1418727071544237,2.0,1.0
4,3,Joey Fatone,Kym Johnson,rank,0.0,B,1,1,0.110091743119266,0.1404189517992738,1.0,0.8888888888888888
4,3,John Ratzenberger,Edyta Sliwinska,rank,0.1111111111111111,A,9,8,0.091743119266055,0.0658360440481641,9.0,0.2222222222222222
4,3,Laila Ali,Maksim Chmerkoskiy,rank,0.14285714285714285,B,6,7,0.0963302752293578,0.1082956126383304,7.0,0.4444444444444444
4,3,Leeza Gibbons,Tony Dovolani,rank,0.75,B,1,4,0.110091743119266,0.1351398950253976,4.0,0.7777777777777778
4,3,Shandi Finnessey,Brian Fortuna,rank,0.3333333333333333,B,6,9,0.0963302752293578,0.0,8.0,0.0
4,4,Apolo Anton Ohno,Julianne Hough,rank,0.5,A,2,1,0.1368421052631579,0.1723924396039471,1.0,0.875
4,4,Billy Ray Cyrus,Karina Smirnoff,rank,0.0,B,5,5,0.1105263157894736,0.1294566517218447,5.0,0.375
4,4,Clyde Drexler,Elena Grinenko,rank,0.0,B,9,9,0.0789473684210526,0.0611646206243821,9.0,0.25
4,4,Heather Mills,Jonathan Roberts,rank,0.3333333333333333,B,4,6,0.1210526315789473,0.1265751028760073,5.0,0.5
4,4,Ian Ziering,Cheryl Burke,rank,0.0,B,3,3,0.1263157894736842,0.160757286553802,3.0,0.75
4,4,Joey Fatone,Kym Johnson,rank,0.5,B,1,2,0.1473684210526315,0.1745856532523151,1.0,1.0
4,4,John Ratzenberger,Edyta Sliwinska,rank,0.0,B,7,7,0.0842105263157894,0.0320928465102166,7.0,0.125
4,4,Laila Ali,Maksim Chmerkoskiy,rank,0.2,A,5,4,0.1105263157894736,0.1429753988574848,4.0,0.625
4,4,Leeza Gibbons,Tony Dovolani,rank,0.125,B,7,8,0.0842105263157894,0.0,8.0,0.0
4,5,Apolo Anton Ohno,Julianne Hough,rank,0.0,B,1,1,0.1704545454545454,0.1950413540743983,1.0,1.0
4,5,Billy Ray Cyrus,Karina Smirnoff,rank,0.0,B,7,7,0.096590909090909,0.0383975869339346,7.0,0.1428571428571429
4,5,Clyde Drexler,Elena Grinenko,rank,0.0,B,8,8,0.0738636363636363,0.0,8.0,0.0
4,5,Heather Mills,Jonathan Roberts,rank,0.16666666666666666,B,5,6,0.1193181818181818,0.1337127487289768,5.0,0.4285714285714286
4,5,Ian Ziering,Cheryl Burke,rank,0.0,B,4,4,0.1363636363636363,0.1486169238371007,4.0,0.5714285714285714
4,5,Joey Fatone,Kym Johnson,rank,0.0,B,3,3,0.1420454545454545,0.1707940840150081,3.0,0.7142857142857143
4,5,John Ratzenberger,Edyta Sliwinska,rank,0.16666666666666666,A,6,5,0.1022727272727272,0.1310563122595859,5.0,0.2857142857142857
4,5,Laila Ali,Maksim Chmerkoskiy,rank,0.0,B,2,2,0.1590909090909091,0.1823809901509953,2.0,0.8571428571428572
4,6,Apolo Anton Ohno,Julianne Hough,rank,0.0,B,1,1,0.1647058823529411,0.2671337194492937,1.0,1.0
4,6,Billy Ray Cyrus,Karina Smirnoff,rank,0.16666666666666666,A,6,5,0.1235294117647058,0.0878323519809724,5.0,0.33333333333333337
4,6,Heather Mills,Jonathan Roberts,rank,0.16666666666666666,B,5,6,0.1352941176470588,0.0,5.0,0.16666666666666663
4,6,Ian Ziering,Cheryl Burke,rank,0.0,B,4,4,0.1411764705882353,0.1687627110017713,4.0,0.5
4,6,Joey Fatone,Kym Johnson,rank,0.0,B,3,3,0.1588235294117647,0.2248663175927824,3.0,0.6666666666666667
4,6,John Ratzenberger,Edyta Sliwinska,rank,0.0,B,7,7,0.1117647058823529,0.003169922252073,7.0,0.0
4,6,Laila Ali,Maksim Chmerkoskiy,rank,0.5,B,1,2,0.1647058823529411,0.2482349777231071,2.0,0.8333333333333334
4,7,Apolo Anton Ohno,Julianne Hough,rank,0.0,B,3,3,0.174757281553398,0.2208416508350124,3.0,0.6
4,7,Billy Ray Cyrus,Karina Smirnoff,rank,0.0,B,6,6,0.1229773462783171,0.0734956508492753,6.0,0.19999999999999996
4,7,Ian Ziering,Cheryl Burke,rank,0.25,B,3,4,0.174757281553398,0.2153905983555166,4.0,0.4
4,7,Joey Fatone,Kym Johnson,rank,0.0,B,1,1,0.1909385113268608,0.2320196742296515,1.0,0.8
4,7,John Ratzenberger,Edyta Sliwinska,rank,0.0,B,5,5,0.145631067961165,0.0,5.0,0.0
4,7,Laila Ali,Maksim Chmerkoskiy,rank,0.5,B,1,2,0.1909385113268608,0.2582524257305439,2.0,1.0
4,8,Apolo Anton Ohno,Julianne Hough,rank,0.0,B,1,1,0.2310756972111553,0.3167117212550721,1.0,1.0
4,8,Billy Ray Cyrus,Karina Smirnoff,rank,0.0,B,5,5,0.1513944223107569,0.0,5.0,0.0
4,8,Ian Ziering,Cheryl Burke,rank,0.0,B,4,4,0.1872509960159362,0.1812108300125679,4.0,0.25
4,8,Joey Fatone,Kym Johnson,rank,0.0,B,2,2,0.2191235059760956,0.2778622876369483,2.0,0.75
4,8,Laila Ali,Maksim Chmerkoskiy,rank,0.0,B,3,3,0.2111553784860557,0.2242151610954117,3.0,0.5
4,9,Apolo Anton Ohno,Julianne Hough,rank,0.0,B,3,3,0.2489451476793249,0.2766292799431247,3.0,0.33333333333333337
4,9,Ian Ziering,Cheryl Burke,rank,0.0,B,4,4,0.2447257383966244,0.0,4.0,0.0
4,9,Joey Fatone,Kym Johnson,rank,0.0,B,1,1,0.2531645569620253,0.3638227728766222,1.0,1.0
4,9,Laila Ali,Maksim Chmerkoskiy,rank,0.5,B,1,2,0.2531645569620253,0.359547947180253,2.0,0.6666666666666667
5,1,Albert Reed,Anna Trebunskaya,rank,0.2857142857142857,B,5,7,0.0817120622568093,0.0889924990164963,7.0,0.36363636363636365
5,1,Cameron Mathison,Edyta Sliwinska,rank,0.375,B,5,8,0.0817120622568093,0.0902264987603213,8.0,0.4545454545454546
5,1,Floyd Mayweather Jr. ,Karina Smirnoff,rank,0.09090909090909091,A,11,10,0.0700389105058365,0.0614297365201895,10.0,0.09090909090909094
5,1,Helio Castroneves,Julianne Hough,rank,0.5,A,2,1,0.0972762645914396,0.1063999180386136,1.0,0.9090909090909091
5,1,Jane Seymour,Tony Dovolani,rank,0.4,B,3,5,0.0933852140077821,0.0971598969052356,4.0,0.7272727272727273
5,1,Jennie Garth,Derek Hough,rank,0.2,A,5,4,0.0817120622568093,0.098071242830875,5.0,0.6363636363636364
5,1,Josie Maran,Alec Mazo,rank,0.0,B,12,12,0.0622568093385214,0.0,12.0,0.0
5,1,Marie Osmond,Jonathan Roberts,rank,0.4444444444444444,B,5,9,0.0817120622568093,0.0868622073204896,9.0,0.2727272727272727
5,1,Mark Cuban,Kym Johnson,rank,0.16666666666666666,B,5,6,0.0817120622568093,0.0915096488037906,6.0,0.5454545454545454
5,1,Mel B,Maksim Chmerkoskiy,rank,0.0,B,3,3,0.0933852140077821,0.1014194694070057,3.0,0.8181818181818181
5,1,Sabrina Bryan,Mark Ballas,rank,0.5,B,1,2,0.1011673151750972,0.1130191084928868,1.0,1.0
5,1,Wayne Newton,Cheryl Burke,rank,0.09090909090909091,B,10,11,0.0739299610894941,0.0649097739040954,10.0,0.18181818181818177
5,2,Albert Reed,Anna Trebunskaya,rank,0.2857142857142857,B,5,7,0.088235294117647,0.0,7.0,0.09999999999999998
5,2,Cameron Mathison,Edyta Sliwinska,rank,0.375,B,5,8,0.088235294117647,0.105840038991631,8.0,0.4
5,2,Floyd Mayweather Jr. ,Karina Smirnoff,rank,0.16666666666666666,B,5,6,0.088235294117647,0.1104464113728007,6.0,0.5
5,2,Helio Castroneves,Julianne Hough,rank,0.0,B,1,1,0.1134453781512605,0.140874584668362,1.0,1.0
5,2,Jane Seymour,Tony Dovolani,rank,0.4444444444444444,B,5,9,0.088235294117647,0.0941828795801154,9.0,0.30000000000000004
5,2,Jennie Garth,Derek Hough,rank,0.2,A,5,4,0.088235294117647,0.1140995182741484,4.0,0.6
5,2,Marie Osmond,Jonathan Roberts,rank,0.0,B,3,3,0.1008403361344537,0.1149943021549174,3.0,0.8
5,2,Mark Cuban,Kym Johnson,rank,0.0,B,10,10,0.0756302521008403,0.0466934325296373,10.0,0.19999999999999996
5,2,Mel B,Maksim Chmerkoskiy,rank,0.2,B,4,5,0.0966386554621848,0.1172048309284629,4.0,0.7
5,2,Sabrina Bryan,Mark Ballas,rank,0.0,B,2,2,0.1092436974789916,0.137531237846801,2.0,0.9
5,2,Wayne Newton,Cheryl Burke,rank,0.0,B,11,11,0.0630252100840336,0.0181327636531235,11.0,0.0
5,3,Cameron Mathison,Edyta Sliwinska,rank,0.0,B,7,7,0.0962343096234309,0.0985812378617832,7.0,0.4444444444444444
5,3,Floyd Mayweather Jr. ,Karina Smirnoff,rank,0.0,B,8,8,0.0878661087866108,0.0863706680767297,8.0,0.2222222222222222
5,3,Helio Castroneves,Julianne Hough,rank,0.3333333333333333,A,6,4,0.100418410041841,0.1169135811069583,6.0,0.5555555555555556
5,3,Jane Seymour,Tony Dovolani,rank,0.8333333333333334,B,1,6,0.1129707112970711,0.1410904821145151,3.0,0.7777777777777778
5,3,Jennie Garth,Derek Hough,rank,0.25,A,4,3,0.1087866108786611,0.12892218790297,3.0,0.6666666666666667
5,3,Marie Osmond,Jonathan Roberts,rank,0.2,B,4,5,0.1087866108786611,0.0838805175324177,5.0,0.33333333333333337
5,3,Mark Cuban,Kym Johnson,rank,0.0,B,9,9,0.0836820083682008,0.0458086406588278,9.0,0.11111111111111116
5,3,Mel B,Maksim Chmerkoskiy,rank,0.0,B,1,1,0.1129707112970711,0.1474086564051001,1.0,0.8888888888888888
5,3,Sabrina Bryan,Mark Ballas,rank,0.5,B,1,2,0.1129707112970711,0.1510240283406978,2.0,1.0
5,3,Wayne Newton,Cheryl Burke,rank,0.0,B,10,10,0.0753138075313807,0.0,10.0,0.0
5,4,Cameron Mathison,Edyta Sliwinska,rank,0.5,B,2,4,0.1153846153846153,0.1556651593666373,4.0,0.625
5,4,Floyd Mayweather Jr. ,Karina Smirnoff,rank,0.0,B,8,8,0.0982905982905982,0.0,8.0,0.0
5,4,Helio Castroneves,Julianne Hough,rank,0.0,B,2,2,0.1153846153846153,0.1672690281658167,2.0,0.75
5,4,Jane Seymour,Tony Dovolani,rank,0.16666666666666666,B,5,6,0.1111111111111111,0.1284735347438625,6.0,0.5
5,4,Jennie Garth,Derek Hough,rank,0.3333333333333333,B,2,3,0.1153846153846153,0.1706011516731061,3.0,0.875
5,4,Marie Osmond,Jonathan Roberts,rank,0.2857142857142857,B,5,7,0.1111111111111111,0.054431886308942,7.0,0.25
5,4,Mark Cuban,Kym Johnson,rank,0.0,B,9,9,0.094017094017094,0.0176301629306473,9.0,0.125
