season,week,predicted_eliminated_percent,predicted_partner_percent,actual_eliminated,actual_count,correct_percent,exact_match_percent
10,3,Buzz Aldrin,Ashly DelGrosso,Buzz Aldrin,1,1.0,1
10,4,Aiden Turner,Edyta Sliwinska,Aiden Turner,1,1.0,1
10,5,Kate Gosselin,Tony Dovolani,Kate Gosselin,1,1.0,1
10,6,Jake Pavelka,Chelsie Hightower,Jake Pavelka,1,1.0,1
10,7,Pamela Anderson,Damian Whitewood,Pamela Anderson,1,1.0,1
10,8,Niecy Nash,Louis van Amstel,Niecy Nash,1,1.0,1
10,9,Chad Ochocinco,Cheryl Burke,Chad Ochocinco,1,1.0,1
11,1,David Hasselhoff,Kym Johnson,David Hasselhoff,1,1.0,1
11,2,Michael Bolton,Chelsie Hightower,Michael Bolton,1,1.0,1
11,3,Margaret Cho,Louis van Amstel,Margaret Cho,1,1.0,1
11,4,The Situation,Karina Smirnoff,The Situation,1,1.0,1
11,5,Florence Henderson,Corky Ballas,Florence Henderson,1,1.0,1
11,6,Audrina Patridge,Tony Dovolani,Audrina Patridge,1,1.0,1
11,7,Rick Fox,Cheryl Burke,Rick Fox,1,1.0,1
11,8,Kurt Warner,Anna Trebunskaya,Kurt Warner,1,1.0,1
11,9,Brandy,Maksim Chmerkoskiy,Brandy,1,1.0,1
12,2,Mike Catherwood,Lacey Schwimmer,Mike Catherwood,1,1.0,1
12,3,Wendy Williams,Tony Dovolani,Wendy Williams,1,1.0,1
12,4,Sugar Ray Leonard,Anna Trebunskaya,Sugar Ray Leonard,1,1.0,1
12,5,Petra Nemcova,Dmitry Chaplin,Petra Nemcova,1,1.0,1
12,6,Chris Jericho,Cheryl Burke,Chris Jericho,1,1.0,1
12,7,Kendra Wilkinson,Louis van Amstel,Kendra Wilkinson,1,1.0,1
12,8,Romeo,Chelsie Hightower,Romeo,1,1.0,1
12,9,Ralph Macchio,Karina Smirnoff,Ralph Macchio,1,1.0,1
13,1,Metta World Peace (Ron),Peta Murgatroyd,Metta World Peace (Ron),1,1.0,1
13,2,Elisabetta Canalis,Valentin Chmerkovskiy,Elisabetta Canalis,1,1.0,1
13,3,Kristin Cavallari,Mark Ballas,Kristin Cavallari,1,1.0,1
13,4,Chynna Phillips,Tony Dovolani,Chynna Phillips,1,1.0,1
13,5,Carson Kressley,Anna Trebunskaya,Carson Kressley,1,1.0,1
13,6,Chaz Bono,Lacey Schwimmer,Chaz Bono,1,1.0,1
13,7,David Arquette,Kym Johnson,David Arquette,1,1.0,1
13,8,Nancy Grace,Tristan MacManus,Nancy Grace,1,1.0,1
13,9,Hope Solo,Maksim Chmerkoskiy,Hope Solo,1,1.0,1
14,2,Martina Navratilova,Tony Dovolani,Martina Navratilova,1,1.0,1
14,3,Jack Wagner,Anna Trebunskaya,Jack Wagner,1,1.0,1
14,4,Sherri Sheperd,Valentin Chmerkovskiy,Sherri Sheperd,1,1.0,1
14,5,Gavin DeGraw,Karina Smirnoff,Gavin DeGraw,1,1.0,1
14,6,Gladys Knight,Tristan MacManus,Gladys Knight,1,1.0,1
14,7,Jaleel White,Kym Johnson,Jaleel White,1,1.0,1
14,8,"Melissa Gilbert, Roshon Fegan","Maksim Chmerkoskiy, Chelsie Hightower","Roshon Fegan, Melissa Gilbert",2,1.0,1
14,9,Maria Menounos,Derek Hough,Maria Menounos,1,1.0,1
15,1,Pamela Anderson,Tristan MacManus,Pamela Anderson,1,1.0,1
15,2,Joey Fatone,Kym Johnson,Joey Fatone,1,1.0,1
15,3,"Drew Lachey, Helio Castroneves","Anna Trebunskaya, Chelsie Hightower","Helio Castroneves, Drew Lachey",2,1.0,1
15,4,Bristol Palin,Mark Ballas,Bristol Palin,1,1.0,1
15,6,Sabrina Bryan,Louis van Amstel,Sabrina Bryan,1,1.0,1
15,8,"Kirstie Alley, Gilles Marini","Maksim Chmerkoskiy, Peta Murgatroyd","Gilles Marini, Kirstie Alley",2,1.0,1
15,9,"Emmitt Smith, Apolo Anton Ohno","Cheryl Burke, Karina Smirnoff","Emmitt Smith, Apolo Anton Ohno",2,1.0,1
16,2,Dorothy Hamill,Tristan MacManus,Dorothy Hamill,1,1.0,1
16,3,Wynonna Judd,Tony Dovolani,Wynonna Judd,1,1.0,1
16,4,Lisa Vanderpump,Gleb Savchenko,Lisa Vanderpump,1,1.0,1
16,5,D. L. Hughley,Cheryl Burke,D. L. Hughley,1,1.0,1
16,6,Victor Ortiz,Lindsay Arnold,Victor Ortiz,1,1.0,1
16,7,Andy Dick,Sharna Burgess,Andy Dick,1,1.0,1
16,8,Sean Lowe,Peta Murgatroyd,Sean Lowe,1,1.0,1
16,9,Ingo Rademacher,Kym Johnson,Ingo Rademacher,1,1.0,1
16,10,Alexandra Raisman,Mark Ballas,Alexandra Raisman,1,1.0,1
17,2,Keyshawn Johnson,Sharna Burgess,Keyshawn Johnson,1,1.0,1
17,3,Bill Nye,Tyne Stecklein,Bill Nye,1,1.0,1
17,4,Valerie Harper,Tristan MacManus,Valerie Harper,1,1.0,1
17,5,Christina Milian,Mark Ballas,Christina Milian,1,1.0,1
17,7,"Nicole ""Snooki"" Polizzi",Sasha Farber,"Nicole ""Snooki"" Polizzi",1,1.0,1
17,8,Brant Daugherty,Peta Murgatroyd,Brant Daugherty,1,1.0,1
17,9,Bill Engvall,Emma Slater,Elizabeth Berkley Lauren,1,0.0,0
17,10,Leah Remini,Tony Dovolani,Leah Remini,1,1.0,1
17,11,Bill Engvall,Emma Slater,Bill Engvall,1,1.0,1
18,2,"Billy Dee Williams, Sean Avery","Emma Slater, Karina Smirnoff","Sean Avery, Billy Dee Williams",2,1.0,1
18,5,Cody Simpson,Witney Carson,Cody Simpson,1,1.0,1
18,6,Drew Carey,Cheryl Burke,Drew Carey,1,1.0,1
18,7,NeNe Leakes,Tony Dovolani,NeNe Leakes,1,1.0,1
18,8,Danica McKellar,Valentin Chmerkovskiy,Danica McKellar,1,1.0,1
18,9,Charlie White,Sharna Burgess,Charlie White,1,1.0,1
18,10,James Maslow,Peta Murgatroyd,James Maslow,1,1.0,1
19,1,Lolo Jones,Keo Motsepe,Lolo Jones,1,1.0,1
19,2,Tavis Smiley,Sharna Burgess,Tavis Smiley,1,1.0,1
19,3,Randy Couture,Karina Smirnoff,Randy Couture,1,1.0,1
19,4,Betsey Johnson,Tony Dovolani,Betsey Johnson,1,1.0,1
19,6,Jonathan Bennett,Allison Holker,Jonathan Bennett,1,1.0,1
19,7,Antonio Sabato Jr.,Cheryl Burke,Antonio Sabato Jr.,1,1.0,1
19,8,Michael Waltrip,Emma Slater,Michael Waltrip,1,1.0,1
19,9,Lea Thompson,Artem Chigvintsev,Lea Thompson,1,1.0,1
19,10,Tommy Chong,Peta Murgatroyd,Tommy Chong,1,1.0,1
19,11,Bethany Mota,Derek Hough,Bethany Mota,1,1.0,1
20,2,Redfoo,Emma Slater,Redfoo,1,1.0,1
20,3,Charlotte McKinney,Keo Motsepe,Charlotte McKinney,1,1.0,1
20,4,Michael Sam,Peta Murgatroyd,Michael Sam,1,1.0,1
20,5,Suzanne Somers,Tony Dovolani,Suzanne Somers,1,1.0,1
20,6,Patti LaBelle,Artem Chigvintsev,Patti LaBelle,1,1.0,1
20,7,Willow Shields,Mark Ballas,Willow Shields,1,1.0,1
20,8,"Robert Herjavec, Chris Soules","Kym Johnson, Witney Carson","Robert Herjavec, Chris Soules",2,1.0,1
20,9,Nastia Liukin,Derek Hough,Nastia Liukin,1,1.0,1
21,2,"Chaka Khan, Kim Zolciak-Biermann, Victor Espinoza","Keo Motsepe, Tony Dovolani, Karina Smirnoff","Chaka Khan, Victor Espinoza, Kim Zolciak-Biermann",3,1.0,1
21,4,Gary Busey,Anna Trebunskaya,Gary Busey,1,1.0,1
21,6,Paula Deen,Louis van Amstel,Paula Deen,1,1.0,1
21,7,Hayes Grier,Emma Slater,Hayes Grier,1,1.0,1
21,8,Andy Grammer,Allison Holker,Andy Grammer,1,1.0,1
21,9,"Tamar Braxton, Alexa PenaVega","Valentin Chmerkovskiy, Mark Ballas","Tamar Braxton, Alexa PenaVega",2,1.0,1
21,11,Carlos PenaVega,Witney Carson,Carlos PenaVega,1,1.0,1
22,2,Geraldo Rivera,Edyta Sliwinska,Geraldo Rivera,1,1.0,1
22,3,Mischa Barton,Artem Chigvintsev,Mischa Barton,1,1.0,1
22,4,Marla Maples,Tony Dovolani,Marla Maples,1,1.0,1
22,6,Doug Flutie,Karina Smirnoff,Doug Flutie,1,1.0,1
22,7,"Kim Fields, Von Miller","Sasha Farber, Witney Carson","Kim Fields, Von Miller",2,1.0,1
22,8,Wanya Morris,Lindsay Arnold,Jodie Sweetin,1,0.0,0
22,9,"Antonio Brown, Nyle DiMarco","Sharna Burgess, Peta Murgatroyd","Antonio Brown, Wanya Morris",2,0.5,0
23,2,Jake T. Austin,Jenna Johnson,Jake T. Austin,1,1.0,1
23,3,Rick Perry,Emma Slater,Rick Perry,1,1.0,1
23,4,"Babyface, Vanilla Ice","Allison Holker, Witney Carson","Babyface, Vanilla Ice",2,1.0,1
23,6,Amber Rose,Maksim Chmerkoskiy,Amber Rose,1,1.0,1
23,7,Maureen McCormick,Artem Chigvintsev,Maureen McCormick,1,1.0,1
23,8,Ryan Lochte,Cheryl Burke,Ryan Lochte,1,1.0,1
23,9,Marilu Henner,Derek Hough,Marilu Henner,1,1.0,1
23,10,Terra Jole,Sasha Farber,Terra Jole,1,1.0,1
23,11,Jana Kramer,Gleb Savchenko,Jana Kramer,1,1.0,1
24,2,Chris Kattan,Witney Carson,Chris Kattan,1,1.0,1
24,3,Charo,Keo Motsepe,Charo,1,1.0,1
24,4,Mr. T,Kym Herjavec,Mr. T,1,1.0,1
24,5,Erika Jayne,Gleb Savchenko,Erika Jayne,1,1.0,1
24,6,Nick Viall,Peta Murgatroyd,Heather Morris,1,0.0,0
24,7,"Nick Viall, Nancy Kerrigan","Peta Murgatroyd, Artem Chigvintsev","Nick Viall, Nancy Kerrigan",2,1.0,1
24,8,Bonner Bolton,Sharna Burgess,Bonner Bolton,1,1.0,1
24,9,Simone Biles,Sasha Farber,Simone Biles,1,1.0,1
25,2,"Barbara Corcoran, Debbie Gibson","Keo Motsepe, Alan Bersten","Debbie Gibson, Barbara Corcoran",2,1.0,1
25,4,Derek Fisher,Sharna Burgess,Derek Fisher,1,1.0,1
25,5,Sasha Pieterse,Gleb Savchenko,Sasha Pieterse,1,1.0,1
25,6,Nick Lachey,Peta Murgatroyd,Nick Lachey,1,1.0,1
25,7,"Nikki Bella, Vanessa Lachey","Artem Chigvintsev, Maksim Chmerkoskiy","Nikki Bella, Vanessa Lachey",2,1.0,1
25,8,Terrell Owens,Cheryl Burke,Terrell Owens,1,1.0,1
25,9,Victoria Arlen,Valentin Chmerkovskiy,Victoria Arlen,1,1.0,1
25,10,Drew Scott,Emma Slater,Drew Scott,1,1.0,1
26,1,"Johnny Damon, Jamie Anderson","Emma Slater, Artem Chigvintsev","Jamie Anderson, Johnny Damon",2,1.0,1
26,2,"Kareem Abdul-Jabbar, Arike Ogunbowale","Lindsay Arnold, Gleb Savchenko","Arike Ogunbowale, Kareem Abdul-Jabbar",2,1.0,1
26,3,"Jennie Finch Daigle, Chris Mazdzer, Mirai Nagasu","Keo Motsepe, Witney Carson, Alan Bersten","Mirai Nagasu, Chris Mazdzer, Jennie Finch Daigle",3,1.0,1
27,1,Nikki Glaser,Gleb Savchenko,Nikki Glaser,1,1.0,1
27,2,Danelle Umstead,Artem Chigvintsev,Danelle Umstead,1,1.0,1
27,3,Nancy McKeon,Valentin Chmerkovskiy,Nancy McKeon,1,1.0,1
27,4,John Schneider,Emma Slater,Tinashe,1,0.0,0
27,6,Mary Lou Retton,Sasha Farber,Mary Lou Retton,1,1.0,1
27,7,"John Schneider, DeMarcus Ware","Emma Slater, Lindsay Arnold","John Schneider, DeMarcus Ware",2,1.0,1
27,8,"Joe Amabile, Bobby Bones","Jenna Johnson, Sharna Burgess","Joe Amabile, Juan Pablo Di Pace",2,0.5,0
